"","lat","long","siteID","plotID","horizon","dnaSampleID","collectDate"
"97",40.196781,-105.486722,"RMNP","RMNP_013","O","RMNP_013-O-20170807-COMP-DNA1",2017-08-07
"98",68.622127,-149.280182,"TOOL","TOOL_006","O","TOOL_006-O-20170721-COMP-DNA1",2017-07-21
"99",68.627943,-149.347229,"TOOL","TOOL_002","O","TOOL_002-O-20170721-COMP-DNA1",2017-07-22
"100",45.506757,-89.58706,"STEI","STEI_060","O","STEI_060-O-20170706-COMP-DNA1",2017-07-06
"101",32.948795,-87.397268,"TALL","TALL_054","M","TALL_054-M-20170614-COMP-DNA1",2017-06-14
"102",35.685523,-83.502232,"GRSM","GRSM_055","O","GRSM_055-O-20170718-COMP-DNA1",2017-07-18
"103",45.797883,-90.064162,"STEI","STEI_004","M","STEI_004-M-20170705-COMP-DNA1",2017-07-05
"104",32.957884,-87.432614,"TALL","TALL_004","M","TALL_004-M-20170612-COMP-DNA1",2017-06-12
"105",46.231276,-89.541941,"UNDE","UNDE_037","O","UNDE_037-O-20180724-COMP-DNA1",2018-07-24
"106",32.952869,-87.397606,"TALL","TALL_044","M","TALL_044-M-20160822-COMP-DNA1",2016-08-22
"107",31.187671,-84.45585,"JERC","JERC_006","M","JERC_006-M-20160726-COMP-DNA1",2016-07-26
"108",29.689482,-81.960693,"OSBS","OSBS_022","O","OSBS_022-O-20170711-COMP-DNA1",2017-07-11
"109",39.035201,-95.194409,"UKFS","UKFS_043","M","UKFS_043-M-20160720-COMP-DNA1",2016-07-20
"110",42.539966,-72.178072,"HARV","HARV_035","O","HARV_035-O-20160802-COMP-DNA3",2016-08-02
"111",46.232249,-89.534573,"UNDE","UNDE_038","O","UNDE_038-O-20170801-COMP-DNA1",2017-08-01
"112",39.075067,-96.555874,"KONZ","KONZ_001","M","KONZ_001-M-20160712-COMP-DNA1",2016-07-12
"113",65.176107,-147.544089,"BONA","BONA_006","O","BONA_006-O-20180928-COMP-DNA1",2018-09-28
"114",40.043059,-105.581501,"NIWO","NIWO_004","O","NIWO_004-O-20170731-COMP-DNA1",2017-07-31
"115",31.857054,-88.161742,"LENO","LENO_062","M","LENO_062-M-20180709-COMP-DNA1",2018-07-09
"116",63.881243,-145.753351,"DEJU","DEJU_048","M","DEJU_048-M-20180621-COMP-DNA1",2018-06-21
"117",32.591348,-106.843322,"JORN","JORN_047","M","JORN_047-M-20170808-COMP-DNA1",2017-08-08
"118",39.043184,-95.202721,"UKFS","UKFS_004","M","UKFS_004-M-20160720-COMP-DNA1",2016-07-20
