"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","sampleID","sampleCode","cnSampleID","cnSampleCode","sampleType","acidTreatment","d15N","organicd13C","nitrogenPercent","organicCPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"9ca4a836-ef10-40be-88a8-8c3f3145babf",2015-04-28,"BART_001.basePlot.bgc","D01","BART","BART_001","distributed",2014-08-19 18:11:00,"BART_001-O-15-1-20140819",NA,"BART_001-O-15-1-20140819-CN",NA,"soil","N",1,-27,1.58,39.2,24.8,"OK","OK",NA,NA,2,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"a72d22bf-b76d-42a3-96c8-4699093b8d73",2015-04-28,"BART_001.basePlot.bgc","D01","BART","BART_001","distributed",2014-08-19 18:11:00,"BART_001-M-15-1-20140819",NA,"BART_001-M-15-1-20140819-CN",NA,"soil","N",4.8,-26.1,0.36,11.39,31.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"73784552-080d-4ab9-8510-79a9fb7a0c88",2015-04-28,"BART_001.basePlot.bgc","D01","BART","BART_001","distributed",2014-08-19 18:40:00,"BART_001-M-39-16-20140819",NA,"BART_001-M-39-16-20140819-CN",NA,"soil","N",3.1,-27.8,0.7,12.59,17.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"402707a6-ca72-4212-9ea9-66ba6e5d5665",2015-04-28,"BART_001.basePlot.bgc","D01","BART","BART_001","distributed",2014-08-19 18:40:00,"BART_001-O-39-16-20140819",NA,"BART_001-O-39-16-20140819-CN",NA,"soil","N",0.8,-27.9,1.85,48.68,26.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"60b9910e-9f4b-4155-a635-2c4df0c1096b",2015-04-28,"BART_001.basePlot.bgc","D01","BART","BART_001","distributed",2014-08-19 19:01:00,"BART_001-O-14-7-20140819",NA,"BART_001-O-14-7-20140819-CN",NA,"soil","N",1.7,-28.1,1.67,58.19,34.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"6630a0b4-d7fe-4863-a505-76ff7432a77c",2015-04-28,"BART_001.basePlot.bgc","D01","BART","BART_001","distributed",2014-08-19 19:01:00,"BART_001-M-14-7-20140819",NA,"BART_001-M-14-7-20140819-CN",NA,"soil","N",3.4,-26.8,0.14,4.49,31.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"0250bdaa-0fb4-4fcf-9afb-d16d9c5bd5d2",2015-04-28,"BART_006.basePlot.bgc","D01","BART","BART_006","distributed",2014-08-20 12:57:00,"BART_006-O-28-3-20140820",NA,"BART_006-O-28-3-20140820-CN",NA,"soil","N",1.8,-27.7,1.78,51.78,29.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"681dd462-7cad-492e-b724-55d51f780fe5",2015-04-28,"BART_006.basePlot.bgc","D01","BART","BART_006","distributed",2014-08-20 12:57:00,"BART_006-M-28-3-20140820",NA,"BART_006-M-28-3-20140820-CN",NA,"soil","N",6.4,-26.8,0.27,8.69,32.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
"f8543dd0-fcb8-4873-ba04-43da0de11d41",2015-04-28,"BART_028.basePlot.bgc","D01","BART","BART_028","distributed",2014-08-20 13:21:00,"BART_028-O-37-22-20140820",NA,"BART_028-O-37-22-20140820-CN",NA,"soil","N",-2.1,-28.5,1.76,46.39,26.3,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T042530Z","RELEASE-2021"
"d89c87bc-03bd-4005-8cca-f56cc7fe6290",2015-04-28,"BART_028.basePlot.bgc","D01","BART","BART_028","distributed",2014-08-20 13:21:00,"BART_028-M-37-22-20140820",NA,"BART_028-M-37-22-20140820-CN",NA,"soil","N",0.8,-27.4,0.31,9.05,28.9,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData","20201217T042530Z","RELEASE-2021"
