"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","horizonName","setDate","collectDate","horizonTopDepth","horizonBottomDepth","nrcsDescriptionID","remarks","publicationDate","release"
"276de7bd-b9de-4150-8bc9-10a0fe723e3e","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK1","Bk1",2015-04-10,2015-04-10,30,55,"S2015PR055001",NA,"20201217T051942Z","RELEASE-2021"
"0f3d2368-b0a6-4090-bd2b-fa7c3515cce5","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_CR","Cr",2015-04-10,2015-04-10,161,203,"S2015PR055001",NA,"20201217T051942Z","RELEASE-2021"
"59053041-3767-4cd3-ba9e-05ff7b255a82","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C",2015-04-10,2015-04-10,126,161,"S2015PR055001",NA,"20201217T051942Z","RELEASE-2021"
"a94f1205-9608-4d08-945b-53b79c0bf159","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_AP","Ap",2014-04-07,2014-04-07,0,27,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"25a222f9-676c-4528-a1e8-51a9a8426c9c","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_4C","4C",2014-04-07,2014-04-07,176,203,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"20901012-f3dd-4486-a9b2-b4964e91ea5e","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_2C","2C",2014-04-07,2014-04-07,145,164,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"d28199cd-46f2-412b-9e2d-707f6b03f6ee","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_BSSYZ","Bssyz",2014-04-07,2014-04-07,55,83,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"83c4e8cd-d4ab-4d0d-b541-a91bf464a826","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_3C","3C",2014-04-07,2014-04-07,164,176,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"b243174a-10f3-4b0a-b3e1-aadcdd4372e7","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_ABSS","Abss",2014-04-07,2014-04-07,27,55,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"5e8d55bb-15c3-43fd-a014-c07c3319316c","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_2BKY","2Bky",2014-04-07,2014-04-07,107,145,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"434c00b3-ed91-420a-8df9-8b13829228d1","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_BKSSYZ","Bkssyz",2014-04-07,2014-04-07,83,107,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"4e911cb7-4e7b-4a16-9c2e-af5ac41376d0","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_E/B","E/B",2015-06-16,2015-06-16,36,61,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"787c2083-3297-4d2f-ba62-d85fbdeb2b21","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_BC","BC",2015-06-16,2015-06-16,109,148,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"5ab991d6-495e-4478-b8da-b4ab0c8dad2e","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_BS2","Bs2",2015-06-16,2015-06-16,28,36,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"a16733bf-e752-4f18-bf5a-ef3285610619","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_A","A",2015-06-16,2015-06-16,0,14,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
