"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","biogeoID","horizonName","biogeoHorizonProportion","biogeoSampleType","setDate","collectDate","coarseFrag2To5","coarseFrag5To20","sandTotal","siltTotal","clayTotal","carbonateClay","clayFineContent","siltFineContent","siltCoarseContent","sandVeryFineContent","sandFineContent","sandMediumContent","sandCoarseContent","sandVeryCoarseContent","carbonTot","nitrogenTot","sulfurTot","estimatedOC","airDryOvenDry","alMjelm","caMjelm","feMjelm","kMjelm","mgMjelm","mnMjelm","naMjelm","pMjelm","siMjelm","srMjelm","tiMjelm","zrMjelm","phCacl2","phH2o","ec12pre","gypsumConc","caco3Conc","caNh4d","kNh4d","mgNh4d","naNh4d","cecdNh4","alSatCecd33","baseSumCecd10","bsesatCecd10","ececCecd33","alKcl","feKcl","mnKcl","bSatx","brSatx","caSatx","clSatx","co3Satx","ecSatp","flSatx","waterSatx","hco3Sx","kSatx","mgSatx","naSatx","no2Satx","no3Satx","pSatx","phSp","resist","so4Satx","laboratoryName","labProjID","biogeoTopDepth","biogeoBottomDepth","biogeoCenterDepth","remarks","publicationDate","release"
"e4c2e844-776d-4388-beb0-acb276167d85","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_BT1","2_BLANDY_PIT1_23-51_BIOGEO_BT1","Bt1",1,"Regular",2013-01-14,2013-01-14,145,8,17.9,45.5,36.6,NA,NA,26.6,18.9,7.8,4.7,2.3,2.2,0.9,3.6,0.2,0,3,1.015,75209,1614,40271,24143,5344,686,395,236,294667,12,5157,125,5.4,6.1,0.06,NA,0,5.6,0.4,0.7,0,8.1,NA,6.7,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA046",23,51,37,NA,"20201217T021806Z","RELEASE-2021"
"3b703aa4-d717-433d-ad64-3a32390879cd","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_BT2","2_BLANDY_PIT1_51-84_BIOGEO_BT2","Bt2",1,"Regular",2013-01-14,2013-01-14,50,0,19.4,38.1,42.5,NA,NA,21.2,16.9,14.1,3.7,1,0.4,0.2,1.9,0.5,0,1,1.026,88488,1804,41338,27324,5793,223,148,158,263306,5,4285,118,6.1,6.6,0.03,NA,0,7.8,0.4,1.3,0,11.4,NA,9.5,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA046",51,84,67.5,NA,"20201217T021806Z","RELEASE-2021"
"e29f3e11-d2d5-464e-8f1d-74de5baa6b71","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_C1","2_BLANDY_PIT1_84-128_BIOGEO_C1","C1",1,"Regular",2013-01-14,2013-01-14,0,0,32.2,33.7,34.1,NA,NA,15.1,18.6,19.4,10.1,1.4,1.1,0.2,1,0.3,0,1,1.019,83617,1673,37410,35822,5028,274,180,127,275532,7,3471,105,6.2,6.8,0.03,NA,0,5.9,0.3,1.4,0.1,9,NA,7.7,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA046",84,128,106,NA,"20201217T021806Z","RELEASE-2021"
"870cfa81-5dc6-45cb-89a4-30c3b9835a8c","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_O","2_BLANDY_PIT1_0-2_BIOGEO_OI","O",1,"Regular",2013-01-14,2013-01-14,0,0,21.2,78.8,0,NA,NA,49.2,29.6,6.6,7.9,3.5,1.9,1.3,430.4,12.1,0.4,430,1.071,9936,18029,5484,4240,2028,437,36,681,65772,27,1038,33,NA,NA,NA,NA,NA,60.7,3.3,11.7,0,56.4,NA,75.7,100,NA,0,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA046",0,2,1,NA,"20201217T021806Z","RELEASE-2021"
"01e20736-8662-4c53-8b61-b39a8a56f0b4","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_C2","2_BLANDY_PIT1_128-200_BIOGEO_C2","C2",1,"Regular",2013-01-14,2013-01-14,0,0,31.6,36.2,32.2,NA,NA,15.8,20.4,22.7,6.3,1.1,0.8,0.7,0.7,0.2,0,0,1.025,85047,1636,40137,36168,5021,283,181,298,279079,3,3798,111,5.6,6.1,0.02,NA,0,5.4,0.3,1.3,0.1,8.7,NA,7.1,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA046",128,200,164,NA,"20201217T021806Z","RELEASE-2021"
"ccee840f-8081-406f-8322-6a5bde70c53b","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_AP2","2_BLANDY_PIT1_14-23_BIOGEO_AP2","Ap2",1,"Regular",2013-01-14,2013-01-14,152,96,25.8,53.7,20.5,NA,NA,32.3,21.4,10.7,5.6,4.2,2.3,3,9.7,0.8,0,10,1.01,50338,1413,30181,18889,2701,1684,812,484,324777,20,5330,138,5.1,5.8,0.13,NA,NA,3.5,0.4,0.5,0,6.5,NA,4.4,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA046",14,23,18.5,NA,"20201217T021806Z","RELEASE-2021"
"323a3e0a-2589-4833-bf5f-50ffddd541c5","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT2","2_SCBI_PIT1_34-59_BIOGEO_BT2","Bt2",1,"Regular",2013-05-13,2013-05-13,80,154,15.5,53,31.5,NA,NA,41.5,11.5,4.9,2.8,2.9,2.9,2,2.7,0,0.1,2,1.019,67436,7646,108736,6919,2733,1116,1391,726,252950,124,20568,225,4.5,5.4,0.04,NA,0,2.8,0.1,0.9,0,9.3,NA,3.8,41,NA,1.4,NA,3.9,NA,0,0.2,0.2,0,0.08,0,55.1,0.2,0,0.1,0,0,0,0,5.1,NA,0.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",34,59,46.5,NA,"20201217T032359Z","RELEASE-2021"
"340d9901-d169-46e3-8663-84b536105b1e","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BA","2_SCBI_PIT1_7-14_BIOGEO_BA","BA",1,"Regular",2013-05-13,2013-05-13,76,157,17.3,50.5,32.2,NA,NA,37.8,12.7,5.7,3.6,4.7,1.7,1.6,28.7,2.5,0.1,28,1.025,68137,11330,121976,4277,2767,2025,859,1067,219434,155,23156,233,6.4,7.2,0.22,NA,0,12.6,0.5,2.1,0,15.1,NA,15.2,100,NA,NA,NA,NA,NA,0,3.9,0.6,0,0.64,0,62.4,4.5,0.6,1.6,0,0.1,0,0,6.7,NA,0.5,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",7,14,10.5,NA,"20201217T032359Z","RELEASE-2021"
"05ef7301-4fdb-4f5b-84a2-5a21507ef06d","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2CR",NA,"2Cr",NA,NA,2013-05-13,2013-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE",NA,NA,NA,NA,NA,"20201217T032359Z","RELEASE-2021"
"f53bb8cc-df42-4bf2-b285-4a211a184111","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BC","2_SCBI_PIT1_179-200_BIOGEO_2BC","2BC",1,"Regular",2013-05-13,2013-05-13,120,323,28.1,39,32.9,NA,NA,29.8,9.2,6.9,6,5.4,8.1,1.7,0.7,0.2,0.1,0,1.025,99014,8037,133720,17421,7538,2075,354,639,184904,104,19885,213,5,5.8,0.04,NA,0,6.2,0,4.8,0,11.2,NA,11,98,NA,0.2,NA,1.8,NA,0,0.4,0.3,0,0.1,0,60.6,0.2,0,0.3,0,0,0,0,5.2,NA,0.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",179,200,189.5,NA,"20201217T032359Z","RELEASE-2021"
