"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","horizonName","setDate","collectDate","archiveID","archiveLaboratoryName","archiveTopDepth","archiveBottomDepth","remarks","sampleMass","publicationDate","release"
"12fc1bf5-10e7-4bf4-8926-3e7c69eafad5","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BC","2BC",2013-05-13,2013-05-13,"2_SCBI_PIT1_179-200_ARCHIVE_2BC","NEON",179,200,NA,1200.3,"20201217T032359Z","RELEASE-2021"
"40c6700f-dbd3-4975-a294-b61c47d6a787","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT4","2Bt4",2013-05-13,2013-05-13,"2_SCBI_PIT1_114-146_ARCHIVE_2BT4","NEON",114,146,NA,1200.2,"20201217T032359Z","RELEASE-2021"
"0ac67200-882f-477d-b450-991f1d36598c","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_A","A",2013-05-13,2013-05-13,"2_SCBI_PIT1_2-7_ARCHIVE_A","NEON",2,7,NA,1199.8,"20201217T032359Z","RELEASE-2021"
"ce9751e0-8dec-4185-b6b3-8467f7150115","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BA","BA",2013-05-13,2013-05-13,"2_SCBI_PIT1_7-14_ARCHIVE_BA","NEON",7,14,NA,1200.5,"20201217T032359Z","RELEASE-2021"
"1bc5e7ae-b16c-4d4a-953a-3273bf58fd66","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT2","Bt2",2013-05-13,2013-05-13,"2_SCBI_PIT1_34-59_ARCHIVE_BT2","NEON",34,59,NA,1200.7,"20201217T032359Z","RELEASE-2021"
"dff52b47-f86f-45e1-b9ae-9ffd3ec76b54","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT5","2Bt5",2013-05-13,2013-05-13,"2_SCBI_PIT1_146-179_ARCHIVE_2BT5","NEON",146,179,NA,1199.7,"20201217T032359Z","RELEASE-2021"
"c6891096-aff5-436c-87e7-0d4e1089ba12","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT3","Bt3",2013-05-13,2013-05-13,"2_SCBI_PIT1_59-114_ARCHIVE_BT3","NEON",59,114,NA,1199.3,"20201217T032359Z","RELEASE-2021"
"f3cfd06c-7ba7-4ce2-a284-55facba2199a","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_EA","EA",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_13-23_EA","NEON",13,23,NA,3600.3,"20201217T043440Z","RELEASE-2021"
"7b48cb7d-e6d7-456b-b732-bebfcffdf2d1","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT1","Bt1",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_37-60_BT1","NEON",37,60,NA,3153.5,"20201217T043440Z","RELEASE-2021"
"8063fe98-22c0-47a6-9870-5ab474bc3ab1","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C1","C1",2014-05-05,2014-05-05,"2_SERC_PIT1_ARCHIVE_187-200_C2","NEON",187,200,NA,3600.2,"20201217T043440Z","RELEASE-2021"
