"uid","domainID","siteID","plotID","namedLocation","collectDate","samplingProtocolVersion","horizon","ovenStartDate","ovenEndDate","sampleID","sampleCode","cnSampleID","cnSampleCode","bgcArchiveID","bgcArchiveCode","bgcArchiveMass","toxicodendronPossible","sampleCondition","bgcRemarks","processedBy","bgcDataQF","publicationDate","release"
"90ef282e-4b93-4758-93c3-765a34673b70","D04","LAJA","LAJA_001","LAJA_001.basePlot.bgc",2020-10-19 15:25:00,"NEON.DOC.014048vN","M",2020-10-19 19:00:00,2020-10-26 17:00:00,"LAJA_001-M-31.5-36.5-20201019","A00000111356","LAJA_001-M-31.5-36.5-20201019-CN","A00000111515","LAJA_001-M-31.5-36.5-20201019-BA","A00000111568",60.6,"N","OK",NA,"0000-0001-8629-4086",NA,"20210208T165349Z","PROVISIONAL"
"ec586d32-8054-4386-aa34-b1907c44a03f","D04","LAJA","LAJA_003","LAJA_003.basePlot.bgc",2020-10-19 17:24:00,"NEON.DOC.014048vN","M",2020-10-19 21:30:00,2020-10-26 17:00:00,"LAJA_003-M-2.5-11.5-20201019","A00000111375","LAJA_003-M-2.5-11.5-20201019-CN","A00000111383","LAJA_003-M-2.5-11.5-20201019-BA","A00000111585",75.6,"N","OK",NA,"0000-0002-6589-9569",NA,"20210208T165349Z","PROVISIONAL"
"c73c0b55-5125-4746-91f2-d01e7687d672","D04","LAJA","LAJA_003","LAJA_003.basePlot.bgc",2020-10-19 18:04:00,"NEON.DOC.014048vN","M",2020-10-19 21:30:00,2020-10-26 17:00:00,"LAJA_003-M-6.5-24-20201019","A00000111358","LAJA_003-M-6.5-24-20201019-CN","A00000111386","LAJA_003-M-6.5-24-20201019-BA","A00000111602",131.7,"N","OK",NA,"0000-0002-5253-5299",NA,"20210208T165349Z","PROVISIONAL"
"e6cfc646-c7c6-4b4d-ae87-199811824773","D04","LAJA","LAJA_003","LAJA_003.basePlot.bgc",2020-10-19 18:49:00,"NEON.DOC.014048vN","M",2020-10-19 21:30:00,2020-10-26 17:00:00,"LAJA_003-M-27.5-36.5-20201019","A00000111392","LAJA_003-M-27.5-36.5-20201019-CN","A00000111499","LAJA_003-M-27.5-36.5-20201019-BA","A00000111619",84.3,"N","OK",NA,"0000-0001-8629-4086",NA,"20210208T165349Z","PROVISIONAL"
"f5006e62-0216-4b7c-85ee-ef9b74487c87","D04","LAJA","LAJA_002","LAJA_002.basePlot.bgc",2020-10-21 12:02:00,"NEON.DOC.014048vN","M",2020-10-21 19:30:00,2020-10-26 17:00:00,"LAJA_002-M-17-2-20201021","A00000111391","LAJA_002-M-17-2-20201021-CN","A00000111517","LAJA_002-M-17-2-20201021-BA","A00000111552",53.9,"N","OK",NA,"0000-0002-5253-5299",NA,"20210208T165349Z","PROVISIONAL"
"0facfdf3-bca8-4bb3-914a-926eaa40ec9d","D04","LAJA","LAJA_002","LAJA_002.basePlot.bgc",2020-10-21 12:31:00,"NEON.DOC.014048vN","M",2020-10-21 19:30:00,2020-10-26 17:00:00,"LAJA_002-M-35.5-1-20201021","A00000111374","LAJA_002-M-35.5-1-20201021-CN","A00000111352","LAJA_002-M-35.5-1-20201021-BA","A00000111535",60.8,"N","OK",NA,"0000-0002-5253-5299",NA,"20210208T165349Z","PROVISIONAL"
"c70f4b12-a835-4c8f-92ed-a925bb75122e","D04","LAJA","LAJA_002","LAJA_002.basePlot.bgc",2020-10-21 13:05:00,"NEON.DOC.014048vN","M",2020-10-21 19:30:00,2020-10-26 17:00:00,"LAJA_002-M-12.5-38.5-20201021","A00000111357","LAJA_002-M-12.5-38.5-20201021-CN","A00000111355","LAJA_002-M-12.5-38.5-20201021-BA","A00000111569",52,"N","OK",NA,"0000-0002-5253-5299",NA,"20210208T165349Z","PROVISIONAL"
"a09bb10f-be4d-4562-a5a7-b961c695cc62","D04","LAJA","LAJA_015","LAJA_015.basePlot.bgc",2020-10-21 14:51:00,"NEON.DOC.014048vN","M",2020-10-21 19:30:00,2020-10-26 17:00:00,"LAJA_015-M-37.5-20-20201021","A00000111395","LAJA_015-M-37.5-20-20201021-CN","A00000111370","LAJA_015-M-37.5-20-20201021-BA","A00000111603",245.4,"N","OK",NA,"0000-0002-5253-5299",NA,"20210208T165349Z","PROVISIONAL"
"5c703e02-bf03-490b-997f-e07770b1359c","D04","LAJA","LAJA_015","LAJA_015.basePlot.bgc",2020-10-21 15:16:00,"NEON.DOC.014048vN","M",2020-10-21 19:30:00,2020-10-26 17:00:00,"LAJA_015-M-37.5-17-20201021","A00000111361","LAJA_015-M-37.5-17-20201021-CN","A00000111349","LAJA_015-M-37.5-17-20201021-BA","A00000111586",243.3,"N","OK",NA,"0000-0002-5253-5299",NA,"20210208T165349Z","PROVISIONAL"
"aca2a3e8-388b-42c3-96a9-188f317fc11e","D04","LAJA","LAJA_015","LAJA_015.basePlot.bgc",2020-10-21 15:40:00,"NEON.DOC.014048vN","M",2020-10-21 19:30:00,2020-10-26 17:00:00,"LAJA_015-M-2.5-9.5-20201021","A00000111378","LAJA_015-M-2.5-9.5-20201021-CN","A00000111516","LAJA_015-M-2.5-9.5-20201021-BA","A00000111620",243.6,"N","OK",NA,"0000-0002-5253-5299",NA,"20210208T165349Z","PROVISIONAL"
"5bb62672-c459-45a5-8eaf-e7bc392b933c","D05","STEI","STEI_008","STEI_008.basePlot.bgc",2015-07-27 16:04:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_008-M-21.5-33.5-20150727",NA,"STEI_008-M-21.5-33.5-20150727-CN",NA,"STEI_008-M-21.5-33.5-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
