"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","poolSampleID","poolSampleCode","cnSampleID","cnSampleCode","sampleType","co2Trapped","d15N","d13C","nitrogenPercent","carbonPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"975d0f8d-d9db-408a-8f87-e4b4c8a3ccd9",2017-03-30,"BART_075.basePlot.bbc","D01","BART","BART_075","tower",2016-07-14 17:49:00,"BBC.BART075797.20160714.05-1.POOL",NA,"BBC.BART075797.20160714.05-1.POOL.CN",NA,"vegetation","N",0.1,-27.7,1,48.7,47.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"e8cfa15a-0298-47a1-bf2f-15db9b312aeb",2017-03-30,"BART_075.basePlot.bbc","D01","BART","BART_075","tower",2016-07-14 17:49:00,"BBC.BART075797.20160714.0-05.POOL",NA,"BBC.BART075797.20160714.0-05.POOL.CN",NA,"vegetation","N",0.6,-28.3,1.2,47.3,40.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"c3c87314-4f9c-4d88-8992-44f169670017",2017-03-30,"BART_075.basePlot.bbc","D01","BART","BART_075","tower",2016-07-14 18:32:00,"BBC.BART075427.20160714.1-2.POOL",NA,"BBC.BART075427.20160714.1-2.POOL.CN",NA,"vegetation","N",-1.7,-28.2,0.5,47.9,93.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"3c8092f4-466c-442f-8326-6b18808e9450",2017-04-22,"BART_075.basePlot.bbc","D01","BART","BART_075","tower",2016-07-14 18:32:00,"BBC.BART075427.20160714.2-10.POOL",NA,"BBC.BART075427.20160714.2-10.POOL.CN",NA,"vegetation","N",-1.4,-28.9,0.3,47.2,133.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"a4123cd1-2287-4241-b801-7a78eb1d387c",2017-03-30,"BART_075.basePlot.bbc","D01","BART","BART_075","tower",2016-07-14 18:32:00,"BBC.BART075427.20160714.0-05.POOL",NA,"BBC.BART075427.20160714.0-05.POOL.CN",NA,"vegetation","N",-1.4,-28.6,1.2,48.1,40.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"03cfd501-be4a-49c6-9a57-73b5b229bfc7",2017-03-30,"BART_075.basePlot.bbc","D01","BART","BART_075","tower",2016-07-14 18:32:00,"BBC.BART075427.20160714.05-1.POOL",NA,"BBC.BART075427.20160714.05-1.POOL.CN",NA,"vegetation","N",-0.2,-28.8,1.1,48.8,45.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"086da5b9-45e7-4416-af21-f0ee8bf5f7ca",2017-03-09,"BART_044.basePlot.bbc","D01","BART","BART_044","tower",2016-07-15 12:12:00,"BBC.BART044572.20160715.05-1.POOL",NA,"BBC.BART044572.20160715.05-1.POOL.CN",NA,"vegetation","N",-1.1,-28.5,0.7,49.6,66.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"664ca889-7738-4f10-9bdd-7bfdcb1d3ab9",2017-03-10,"BART_044.basePlot.bbc","D01","BART","BART_044","tower",2016-07-15 12:12:00,"BBC.BART044572.20160715.0-05.POOL",NA,"BBC.BART044572.20160715.0-05.POOL.CN",NA,"vegetation","N",-0.8,-29,1.1,49.7,44,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"fe5af8ad-927f-45db-bacf-96a84b3bdd5f",2017-03-26,"BART_044.basePlot.bbc","D01","BART","BART_044","tower",2016-07-15 12:12:00,"BBC.BART044572.20160715.1-2.POOL",NA,"BBC.BART044572.20160715.1-2.POOL.CN",NA,"vegetation","N",-0.6,-29.6,0.6,49.6,86.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
"be5bc479-70ba-4d68-b346-0009df196eee",2017-04-18,"BART_044.basePlot.bbc","D01","BART","BART_044","tower",2016-07-15 12:12:00,"BBC.BART044572.20160715.2-10.POOL",NA,"BBC.BART044572.20160715.2-10.POOL.CN",NA,"vegetation","N",-0.8,-28.3,0.4,44.8,120,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData|dryingProtocolError","20201217T145608Z","RELEASE-2021"
