,dnaSampleID,collectDate,long,lat,spi30d,spi90d,spi180d,spi270d,spi1y,spi2y,spi5y,spei30d,spei90d,spei180d,spei270d,spei1y,spei2y,spei5y,test
297,STER_006-M-20160815-COMP-DNA1,2016-08-15,-103.035332,40.463935,-0.3199999928474426,-0.029999999329447746,0.029999999329447746,0.23999999463558197,-0.3199999928474426,0.7099999785423279,0.029999999329447746,-0.23999999463558197,-0.17000000178813934,-0.029999999329447746,0.029999999329447746,-0.46000000834465027,0.7099999785423279,-0.23999999463558197,-103.035332
298,ORNL_043-O-20170621-COMP-DNA1,2017-06-21,-84.287233,35.963926,0.029999999329447746,0.8999999761581421,0.6299999952316284,0.17000000178813934,-0.46000000834465027,0.10000000149011612,2.0899999141693115,-0.029999999329447746,0.5400000214576721,0.17000000178813934,-0.38999998569488525,-0.8999999761581421,-0.38999998569488525,-0.8999999761581421,-84.287233
299,UNDE_001-M-20160809-COMP-DNA1,2016-08-09,-89.560771,46.234625,1.690000057220459,1.690000057220459,2.0899999141693115,2.0899999141693115,1.690000057220459,2.0899999141693115,1.2799999713897705,1.4500000476837158,1.690000057220459,2.0899999141693115,2.0899999141693115,1.4500000476837158,1.4500000476837158,-0.10000000149011612,-89.560771
300,SRER_005-M-20170815-COMP-DNA1,2017-08-15,-110.823985,31.828844,1.4500000476837158,1.4500000476837158,0.38999998569488525,0.10000000149011612,-0.029999999329447746,-0.17000000178813934,-0.46000000834465027,1.4500000476837158,1.2799999713897705,0.23999999463558197,-0.029999999329447746,-0.10000000149011612,-0.17000000178813934,-0.46000000834465027,-110.823985
301,SJER_005-M-20170315-COMP-DNA1,2017-03-16,-119.748517,37.1235,-0.029999999329447746,2.0899999141693115,1.690000057220459,1.690000057220459,1.690000057220459,1.1299999952316284,-0.6200000047683716,0.23999999463558197,2.0899999141693115,1.690000057220459,1.690000057220459,1.4500000476837158,0.7099999785423279,-0.6200000047683716,-119.748517
302,GRSM_016-O-20170717-COMP-DNA1,2017-07-17,-83.474652,35.593016,-0.17000000178813934,0.029999999329447746,-0.38999998569488525,-0.7099999785423279,-1.4500000476837158,-1.2799999713897705,2.0899999141693115,-0.029999999329447746,0.17000000178813934,-0.10000000149011612,-0.7099999785423279,-1.1299999952316284,-1.0099999904632568,1.4500000476837158,-83.474652
303,GUAN_002-M-20180924-COMP-DNA1,2018-09-24,-66.824633,17.970294,,,,,,,,,,,,,,,-66.824633
304,SERC_003-M-20170711-COMP-DNA1,2017-07-11,-76.543752,38.899872,0.029999999329447746,-0.23999999463558197,-0.6200000047683716,-1.4500000476837158,-0.8999999761581421,-1.2799999713897705,0.10000000149011612,-0.23999999463558197,-0.17000000178813934,-0.800000011920929,-1.2799999713897705,-1.1299999952316284,-1.690000057220459,-0.17000000178813934,-76.543752
305,GRSM_058-O-20160719-COMP-DNA1,2016-07-19,-83.505443,35.691954,0.10000000149011612,-0.6200000047683716,-1.0099999904632568,-0.46000000834465027,-0.6200000047683716,-0.3199999928474426,2.0899999141693115,0.10000000149011612,-0.6200000047683716,-1.1299999952316284,-0.6200000047683716,-0.5400000214576721,-0.3199999928474426,0.3199999928474426,-83.505443
306,KONZ_005-M-20160714-COMP-DNA1,2016-07-14,-96.566704,39.082563,0.6299999952316284,1.2799999713897705,0.6299999952316284,1.1299999952316284,0.800000011920929,0.5400000214576721,-0.6200000047683716,0.38999998569488525,1.1299999952316284,0.10000000149011612,0.6299999952316284,0.029999999329447746,0.23999999463558197,-0.7099999785423279,-96.566704
307,DEJU_014-M-20180618-COMP-DNA1,2018-06-18,-145.747612,63.831139,,,,,,,,,,,,,,,-145.747612
308,WREF_007-O-20180625-COMP-DNA1,2018-06-25,-121.989672,45.850153,-2.0899999141693115,-1.0099999904632568,-0.38999998569488525,-0.10000000149011612,0.029999999329447746,0.800000011920929,2.0899999141693115,-1.4500000476837158,-1.1299999952316284,-0.46000000834465027,-0.17000000178813934,-0.23999999463558197,0.7099999785423279,-1.690000057220459,-121.989672
309,UNDE_044-O-20160815-COMP-DNA1,2016-08-15,-89.53264,46.231744,1.690000057220459,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.0899999141693115,1.2799999713897705,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.0899999141693115,1.690000057220459,2.0899999141693115,0.029999999329447746,-89.53264
