"","soilID","domainID","plotID","collectDate","mean_cn","mean_OrgC","mean_Org13C","mean_15n","mean_N"
"225","HARV_021-O","D01","HARV_021",2014-07-17,29.2333333333333,15.7666666666667,-27.7333333333333,1.73333333333333,0.533333333333333
"226","HARV_021-O","D01","HARV_021",2018-07-12,28.4333333333333,42.15,-29.1333333333333,-1.66666666666667,1.50333333333333
"227","HARV_033-M","D01","HARV_033",2014-07-17,18.9,5.39666666666667,-27.5333333333333,5.56666666666667,0.286666666666667
"228","HARV_033-M","D01","HARV_033",2018-07-09,21.3,3.73,-27.0666666666667,5.1,0.176666666666667
"229","HARV_033-O","D01","HARV_033",2014-07-17,23.8333333333333,42.1133333333333,-28.0666666666667,-1.53333333333333,1.77
"230","HARV_033-O","D01","HARV_033",2018-07-09,26.4666666666667,33.0966666666667,-28.1333333333333,1.03333333333333,1.29333333333333
"231","HARV_034-M","D01","HARV_034",2014-07-17,22.05,4.7875,-26.475,5.225,0.2175
"232","HARV_034-M","D01","HARV_034",2018-07-09,21.9,3.05,-26,6.3,0.14
"233","HARV_034-M","D01","HARV_034",2018-07-10,25.05,5.585,-26.15,5.75,0.225
"234","HARV_034-O","D01","HARV_034",2014-07-17,30.3666666666667,42.23,-27.5666666666667,-0.666666666666667,1.39
"235","HARV_034-O","D01","HARV_034",2018-07-09,28.75,41.455,-27.45,-1.05,1.445
"236","HARV_034-O","D01","HARV_034",2018-07-10,31.7,41.48,-27.5,-0.35,1.305
"237","HARV_035-M","D01","HARV_035",2014-07-16,27.0666666666667,6.21666666666667,-27.4,3.96666666666667,0.23
"238","HARV_035-M","D01","HARV_035",2014-07-17,26.2,4.28,-27.2,4.7,0.16
"239","HARV_035-M","D01","HARV_035",2018-07-09,30.3333333333333,6.14333333333333,-26.7666666666667,4,0.203333333333333
"240","HARV_035-O","D01","HARV_035",2014-07-16,26.05,44.07,-28.55,-1.45,1.685
"241","HARV_035-O","D01","HARV_035",2014-07-17,32.9,41.31,-27.7,-1.3,1.26
"242","HARV_035-O","D01","HARV_035",2018-07-09,32.2666666666667,35.6633333333333,-27.8666666666667,-0.933333333333333,1.11
"243","HARV_037-M","D01","HARV_037",2018-07-10,30.7333333333333,8.46333333333333,-26.5666666666667,3.23333333333333,0.28
"244","HARV_037-O","D01","HARV_037",2018-07-10,34.7,38.555,-27.15,0.25,1.12
"245","HEAL_001-O","D19","HEAL_001",2016-08-04,24.225,33.155,-26.35,1.225,1.3575
"246","HEAL_004-O","D19","HEAL_004",2016-08-02,19.2,31.85,-27,2.6,1.66
"247","HEAL_004-O","D19","HEAL_004",2016-09-06,27.9,41.005,-26.95,2,1.475
"248","HEAL_005-O","D19","HEAL_005",2016-08-04,31.7333333333333,30.51,-26.8666666666667,1.2,0.963333333333333
"249","HEAL_010-M","D19","HEAL_010",2016-08-02,21.6,2.79,-26.3,3.8,0.13
"250","HEAL_010-O","D19","HEAL_010",2016-08-02,26.9,31.33,-27.25,0.8,1.185
"251","HEAL_011-O","D19","HEAL_011",2016-08-03,24.8666666666667,25.1466666666667,-26.4,2.13333333333333,1.04666666666667
"252","HEAL_025-O","D19","HEAL_025",2016-08-03,24.2,27.9366666666667,-26.8,2.06666666666667,1.20333333333333
"253","HEAL_045-O","D19","HEAL_045",2016-07-27,27.3666666666667,37.3533333333333,-26.0666666666667,1.36666666666667,1.36666666666667
"254","HEAL_046-O","D19","HEAL_046",2016-07-26,26.25,26.3775,-26.35,1.5,1.02
"255","HEAL_047-O","D19","HEAL_047",2016-07-26,27.4666666666667,28.6966666666667,-26.3333333333333,1.86666666666667,1.06
"256","HEAL_048-O","D19","HEAL_048",2016-07-26,24.8333333333333,28.8066666666667,-26.3333333333333,0.933333333333333,1.18333333333333
"257","JERC_001-M","D03","JERC_001",2014-08-05,20.0666666666667,0.843333333333333,-23.0333333333333,5.3,0.0433333333333333
"258","JERC_001-M","D03","JERC_001",2019-07-29,19.625,0.685,-24.3,4.475,0.0325
"259","JERC_002-M","D03","JERC_002",2014-08-05,28.3666666666667,1.21666666666667,-26,4.06666666666667,0.0433333333333333
"260","JERC_002-M","D03","JERC_002",2019-07-30,29.9666666666667,1.08333333333333,-26.8666666666667,3.1,0.0366666666666667
"261","JERC_003-M","D03","JERC_003",2014-08-05,19.0666666666667,0.92,-25.8,3.86666666666667,0.0466666666666667
"262","JERC_003-M","D03","JERC_003",2019-07-29,17.5,0.965,-25.85,3.55,0.055
"263","JERC_003-M","D03","JERC_003",2019-07-30,15.4,0.89,-27,2.8,0.06
"264","JERC_004-M","D03","JERC_004",2019-07-30,20.2,0.876666666666667,-25.0666666666667,4.43333333333333,0.0433333333333333
