"","verticalPosition","VSWC_ann_mean","VSWC_ann_var","VSWC_max","VSWC_min","VSWC_median","VSWC_range","VSIC_ann_mean","VSIC_ann_var","VSIC_max","VSIC_min","VSIC_median","VSIC_range","days","siteID","horizon"
"146","505",0.226681115841918,0.0422022086605221,0.334924113175676,0.133171346196496,0.225954655934343,0.20175276697918,1291.41136821011,307.271381364636,5383.27293977167,1071.28073611111,1263.0320258199,4311.99220366056,347.5,"ORNL","NA"
"147","506",0.153602851554476,0.0554930752209648,0.337078125,0.0363239583333333,0.153037636612022,0.300754166666667,1369.16094832276,116.543491375625,2085.30104846316,1215.70594180373,1333.90109407446,869.595106659437,347,"ORNL","NA"
"148","507",0.251109007306746,0.0438490887691407,0.354880520889854,0.148043230694037,0.260975347222222,0.206837290195816,1343.55909654323,210.554967249972,2774.34177496484,1130.58745478723,1271.82777398459,1643.7543201776,347.5,"ORNL","NA"
"149","508",0.265519110095764,0.0541612238473204,0.377446875,0.169884512296214,0.255911805555556,0.207562362703786,1384.82428452734,80.3848606747803,1720.38321107456,1073.26552777778,1385.08004221014,647.117683296784,346,"ORNL","NA"
"150","501",0.231269551661201,0.075153350271815,0.371757857142857,0.0948513888888889,0.215703645833333,0.276906468253968,1415.38516773436,44.9370257449968,1588.22099285714,1274.57791666667,1412.92025416667,313.643076190476,293,"DELA","O"
"151","502",0.219436791384528,0.062324728328474,0.38056380952381,0,0.200778125,0.38056380952381,1341.57481252643,57.0057249919673,2020.46825,1300.03565277778,1331.89204166667,720.432597222222,289,"DELA","M"
"152","503",0.193450915568806,0.0829523346356997,0.373732638888889,0.0862770833333333,0.137466666666667,0.287455555555556,1282.07781558513,53.3230380383512,1490.48027338129,1198.44925,1271.27326694915,292.031023381295,293,"DELA","NA"
"153","504",0.171315950336853,0.0890004351521289,0.365781818181818,0.0665333333333333,0.147175520833333,0.299248484848485,1374.02704977249,102.526178564189,2282.63838650307,1252.9910212766,1345.0349958159,1029.64736522647,293,"DELA","NA"
"154","505",0.164828972771103,0.0874262655673724,0.381421052631579,0.0710722222222222,0.144543541666667,0.310348830409357,1331.53146954454,65.6954090799256,1499.32695,1196.828375,1317.19111154114,302.498575,284,"DELA","NA"
"155","506",0.182416244924602,0.106949455865891,0.359750694444444,0,0.15770412371134,0.359750694444444,1427.75055120252,105.465301951013,2055.83758333333,963.848786764706,1412.48035672515,1091.98879656863,279,"DELA","NA"
"156","507",0.222949334581293,0.141565372865614,0.3863,0,0.237031816123188,0.3863,1600.23123961874,367.954464904181,3221.65833333333,1132.64722297297,1464.39689613003,2089.01111036036,282,"DELA","NA"
"157","508",0.261119093493783,0.149010481743268,0.372688524590164,0,0.364451041666667,0.372688524590164,1477.28783549592,40.3837055060385,1595.31523611111,1348.9316013986,1473.88934930556,246.38363471251,268,"DELA","NA"
"158","501",0.213163774902307,0.0477106940077319,0.306168129635689,0.062136524822695,0.220861510416667,0.244031604812994,1197.19380999026,41.7927499811442,1413.46685744681,1102.68005612245,1197.08514302249,310.78680132436,341,"STEI","O"
"159","502",0.213453308143676,0.0428911267848136,0.318748240599594,0.105024090375587,0.22301484375,0.213724150224007,1109.19586714178,43.8000996199457,1415.52641007994,1032.87698263889,1101.76218010057,382.649427441053,344.5,"STEI","M"
"160","503",0.150121849440078,0.041520644576449,0.347065845959596,0.0718299494949495,0.148139635416667,0.275235896464646,994.129074487658,94.3371728337221,1690.59951378338,907.015995105737,964.744556690705,783.583518677642,344.5,"STEI","NA"
"161","504",0.211981968781948,0.0516155814281544,0.309531930972254,0.0940547393364929,0.210182030238673,0.215477191635761,1138.65139653142,79.7653825024278,1584.64522462187,886.089730113636,1152.83249079768,698.555494508231,344.5,"STEI","NA"
"162","505",0.205066502719997,0.0564795979714165,0.333745192307692,0.0687817708333333,0.208740065789474,0.264963421474359,1281.69565474824,148.373932131697,1965.78761590146,1113.4970338785,1246.63818723517,852.290582022951,341,"STEI","NA"
"163","506",0.231336684909126,0.0669401410255489,0.333425104895105,0.0850666666666667,0.248213224491753,0.248358438228438,1213.06486463204,19.3366448889992,1251.01098877005,1180.68237291667,1215.08267115348,70.3286158533867,305.5,"STEI","NA"
"164","507",0.300329017260607,0.0346476525562357,0.349000480769231,0.175847175526276,0.317277121212121,0.173153305242955,1212.40489147294,31.6473444861721,1527.25422983364,1036.82697567994,1212.41892113095,490.427254153699,344,"STEI","NA"
"165","508",0.293132562291011,0.0375346420797327,0.342529674796748,0.169426578991108,0.305590422322775,0.17310309580564,1390.89600738401,412.396304009294,4328.20972887613,886.873719348996,1268.52422670848,3441.33600952713,344.5,"STEI","NA"
"166","501",0.0798726671359674,0.0641168071999146,0.298303645833333,0.00255,0.0609444791666667,0.295753645833333,1272.93993558074,332.287055469692,2353.608175,502.65975,1267.02887797934,1850.948425,291,"NIWO","O"
"167","502",0.0646281347143798,0.0547368296151705,0.3307,0.000433333333333333,0.053665625,0.330266666666667,769.652878415197,231.653121795097,1272.60866666667,376.492,735.886485021097,896.116666666667,284,"NIWO","M"
"168","503",0.0545814329925702,0.0358160075019402,0.242671590909091,6e-04,0.0440279513888889,0.242071590909091,990.398593616182,252.635514980628,1628.27686734694,220.902595238095,995.5524296875,1407.37427210884,280.5,"NIWO","NA"
"169","504",0.0636150360373935,0.0397801238608925,0.26231953125,0.0026,0.053034140625,0.25971953125,933.960732043941,148.458392501449,1261.24702819444,409.576375,932.156188852905,851.670653194445,277,"NIWO","NA"
"170","505",0.110056783090557,0.037915984367762,0.216055625,0.0077,0.104141458333333,0.208355625,963.210694027886,91.6719936236107,1163.23493761141,513.560338235294,978.462518492509,649.674599376114,315,"NIWO","NA"
"171","506",0.155720803629696,0.0493384706281863,0.243216319444444,0.0465130434782609,0.157717436597526,0.196703275966184,1153.51650598953,121.213468039148,1828.65334496753,878.158644444444,1146.52420890411,950.494700523088,332,"NIWO","NA"
"172","507",0.169511597193528,0.0650174057203997,0.290833333333333,0.0681549863387978,0.150731919549266,0.222678346994536,1223.16357589062,72.2281474850348,1719.83638504273,1100.80286875,1213.65984557292,619.033516292735,345.5,"NIWO","NA"
"173","508",0.183713159448732,0.0344185833545562,0.244316145833333,0.0857666666666667,0.187046848958333,0.158549479166667,1243.25233971495,173.210605167062,2435.19637459893,1114.44910763889,1171.32916944444,1320.74726696004,320.5,"NIWO","NA"
"174","501",0.188921004898593,0.0303492701886524,0.251531229946524,0.0998086904761905,0.192069375,0.151722539470334,1128.55375618404,42.9916798512471,1332.69651691074,992.262504128793,1130.66934895833,340.434012781947,348.5,"UNDE","O"
"175","502",0.151465051051931,0.0392660601006734,0.223200094007452,0.0689807291666667,0.16502230377907,0.154219364840786,952.977677309414,27.2775425151703,1031.41078885004,877.049681811569,958.797245833333,154.36110703847,348.5,"UNDE","M"
"176","503",0.0859055007013164,0.0171833753267402,0.11870675,0.0517352941176471,0.0879847916666667,0.0669714558823529,1245.48646747412,218.768108035769,2406.0198558732,1027.03724271845,1171.76943333333,1378.98261315476,348.5,"UNDE","NA"
"177","504",0.100236580636441,0.0144203539923189,0.152067479275742,0.0618682452174872,0.101261144456681,0.0901992340582545,997.987964704876,46.4764654089466,1285.3405507622,909.380541984953,992.066754483122,375.960008777243,348.5,"UNDE","NA"
"178","505",0.119777190329411,0.0120080780812143,0.153984889846743,0.0890684722222222,0.1228421875,0.0649164176245211,1007.09199562029,37.9507914412991,1247.62026752513,932.697500297619,1009.14610208333,314.922767227507,348.5,"UNDE","NA"
"179","506",0.107697251010981,0.0285508658946074,0.192338907418056,0.0606833146619722,0.102921930803571,0.131655592756084,929.953134122532,108.304562022081,1610.8571653406,763.081402200354,902.71627327804,847.775763140251,348.5,"UNDE","NA"
"180","507",0.136375018663714,0.0556273268929748,0.313409973404255,0.0632987612612613,0.108395289115646,0.250111212142994,1213.59480469494,230.404973692305,3184.20512541406,1053.99162032585,1152.35420157585,2130.21350508821,348.5,"UNDE","NA"
"181","508",0.212082142766852,0.0223933360793571,0.269752611208846,0.171087554629421,0.214815614270386,0.0986650565794254,1274.22815917979,66.6611925275955,1714.3300105755,1203.61742626967,1259.22390964409,510.712584305833,348.5,"UNDE","NA"
"182","501",0.0317816302705657,0.0259687772219333,0.15739494047619,0,0.0222794890873016,0.15739494047619,754.653060302766,238.017809865637,1754.29843441479,162.555104166667,691.828848958333,1591.74333024812,288.5,"HEAL","O"
"183","504",0.100220051576083,0.072179455649083,0.3274678125,0.00563506493506494,0.0740870309438005,0.321832747564935,1267.24044293851,314.085732129788,2813.63260495358,577.51930625,1177.7144806338,2236.11329870358,319.5,"HEAL","NA"
"184","505",0.116607828089179,0.0794171900110795,0.396844505494505,0.00676666666666667,0.0909794221698113,0.390077838827839,1332.87204084822,172.497158552906,2166.16594791667,963.469758865248,1297.14192540251,1202.69618905142,342,"HEAL","NA"
"185","506",0.212694016773403,0.103893589591547,0.388447594501718,0.0522666666666667,0.189909331462848,0.336180927835052,1431.00117348931,215.992673328175,2630.1497017601,1047.15539090909,1398.5816763217,1582.99431085101,311.5,"HEAL","NA"
"186","507",0.097321505971988,0.0422749648890679,0.192367717717718,0.04001,0.0747387456293706,0.152357717717718,1381.85998633344,114.636154399818,1972.56122691667,1121.20902083333,1375.19704245051,851.352206083333,342.5,"HEAL","NA"
"187","508",0.104889667292633,0.0288020928928019,0.195141666666667,0.05165,0.115189622641509,0.143491666666667,1498.11013912881,92.8205835947817,1709.105,919.016,1494.36217329545,790.089,297,"HEAL","NA"
"188","501",0.0712901593858272,0.0391001421829763,0.200616666666667,0.0353854166666667,0.0538379166666667,0.16523125,1085.60801340976,487.260798326343,1859.34069166667,489.149058823529,1240.33622395833,1370.19163284314,355,"SJER","O"
"189","502",0.0558244449977657,0.0279642740950915,0.1438671875,0.0278213541666667,0.0463125,0.116045833333333,1121.45975200385,395.864916910957,1647.953296875,538.996194444444,1302.82653125,1108.95710243056,355,"SJER","M"
"190","503",0.056167767106143,0.0234984499687837,0.130781111111111,0.0293895833333333,0.049896875,0.101391527777778,1081.28810448601,239.880604797185,1395.10405494505,630.908532608696,1205.26808421053,764.195522336359,355,"SJER","NA"
"191","504",0.0787937349423134,0.0503038325983474,0.241783854166667,0.0362548611111111,0.0543875,0.205528993055556,1204.50660828539,152.425149023112,1585.33184375,802.415970588235,1222.94640625,782.915873161765,355,"SJER","NA"
"192","505",0.116902151780352,0.0665711909576387,0.245177083333333,0.03960625,0.0983763888888889,0.205570833333333,1223.90771052153,136.731137803236,1651.50347826087,1007.19782291667,1197.73171195451,644.305655344203,354,"SJER","NA"
"193","506",0.192242899493536,0.0582045611203597,0.292073611111111,0.0248458333333333,0.185625,0.267227777777778,1611.2579151093,314.645327280044,2028.31217204301,1066.01873404255,1622.18857068063,962.293438000458,355,"SJER","NA"
"194","507",0.188941312010349,0.0621526357782723,0.326771875,0.05335625,0.169955729166667,0.273415625,1798.44063598362,387.987576123271,2267.94830208333,1260.10711290323,1940.338859375,1007.84118918011,355,"SJER","NA"
"195","508",0.226477259526704,0.0574647565959816,0.398632258064516,0.0377,0.222517708333333,0.360932258064516,1809.01520450135,394.007550374091,2306.44835195531,1293.81121527778,1876.98746774194,1012.63713667753,327,"SJER","NA"
"196","501",0.0902382423366352,0.0515789913293176,0.231605217391304,0.0216783333333333,0.079175,0.209926884057971,1596.23319679253,325.550840481277,2388.91692083333,1123.51420879121,1532.4357,1265.40271204212,303,"RMNP","O"
"197","502",0.115031929202673,0.0511429220769137,0.2374525,0.04890375,0.110974160586967,0.18854875,1449.66231056225,172.302548565972,1784.65280252101,1228.21983431953,1405.20267311321,556.432968201482,320,"RMNP","M"
"198","503",0.111094006153714,0.0475524431027181,0.208478333333333,0.0367,0.107383177570093,0.171778333333333,1465.43446305085,158.326834022657,1792.30033333333,1225.49133333333,1433.6321375,566.809,331,"RMNP","NA"
"199","504",0.166021588042097,0.0589781154570706,0.298554375,0.0256924686192469,0.154197806555543,0.272861906380753,1404.73849326378,135.755874521555,1649.16879555556,1140.06110416667,1433.08878082045,509.107691388889,313.5,"RMNP","NA"
"200","505",0.121463259097932,0.0591701563132464,0.227645155704625,0.0358916666666667,0.0959815519553636,0.191753489037958,1286.59752893952,116.067800216824,1547.7932644433,1075.26101020408,1269.65175378788,472.532254239219,339,"RMNP","NA"
"201","506",0.0839627302539014,0.0282830672084659,0.164975,0.0313513986013986,0.0730665416403335,0.133623601398601,1274.09813619414,130.923459304759,1746.35146880087,1077.56087390445,1283.92326442922,668.790594896414,335,"RMNP","NA"
"202","507",0.139500233890468,0.0493227698170932,0.237205729166667,0.0291864583333333,0.134658335241148,0.208019270833333,1425.75835168605,102.30966854378,1620.16291084722,1279.79433653382,1400.57323017408,340.368574313401,346.5,"RMNP","NA"
"203","508",0.111107332226344,0.0409668260859344,0.182770833333333,0.0375916075650118,0.0978220094086022,0.145179225768322,1470.92877018665,56.9394413188266,1604.50490394402,1357.74275879167,1460.20528405449,246.762145152354,336,"RMNP","NA"
"204","501",0.179537802810421,0.0580099722548382,0.294011699507389,0.0944404166666667,0.173407466186736,0.199571282840723,1453.74033468846,176.688047936314,2048.81854727564,1221.83219044242,1397.18808024194,826.986356833223,348,"CLBJ","O"
"205","502",0.135568428953818,0.0475406527977714,0.218537577054795,0.0657322916666667,0.138662367424242,0.152805285388128,1371.29220460681,114.712929006338,1983.11790204802,1170.12258936966,1357.65655863842,812.995312678364,348,"CLBJ","M"
"206","503",0.112617595691163,0.0399874344987267,0.247903842302879,0.0580833333333333,0.103317422619048,0.189820508969545,1362.90050541977,86.6981738873677,1713.98163108941,1185.92995530914,1344.17910326883,528.051675780268,348,"CLBJ","NA"
"207","504",0.153122804313784,0.0438175812664342,0.308787906976744,0.087438125,0.146220479992928,0.221349781976744,1562.61513007357,199.370991118805,2471.21398275067,1250.62853738757,1533.34191713511,1220.5854453631,348,"CLBJ","NA"
"208","505",0.151481634289578,0.046911061159752,0.280033708414873,0.0922891666666667,0.145488814655172,0.187744541748206,1543.33026329171,160.091886498655,2130.1043946558,1294.76126965409,1493.90973680556,835.343125001709,348,"CLBJ","NA"
