"","soilID","AGS_marker","GC_marker","Coding_density_marker","num_taxa_marker"
"49","DEJU_047-M",5215602.69360484,0.616611854110684,0.879728973046505,147
"50","DEJU_047-O",5968719.32160619,0.612543741456273,0.873346236537046,164
"51","DEJU_048-M",6138881.59067358,0.624163719785613,0.872307844636295,81
"52","DEJU_048-O",6181600.29210923,0.621706505681091,0.874542985334464,129.666666666667
"53","DELA_003-M",6084849.93076367,0.641209571767017,0.878402330065288,162
"54","DELA_004-M",6132644.14130504,0.640353111102107,0.875651518046478,120.5
"55","DELA_005-M",5384745.53246854,0.61611480839245,0.877593555190345,117.5
"56","DELA_014-M",5318682.33815948,0.621164046419787,0.878068441537403,111
"57","DELA_037-M",6149881.83540199,0.634999394091724,0.873646310774177,94.75
"58","DELA_041-M",5803039.7982787,0.634239970370828,0.874089467202312,83
"59","DSNY_001-M",6697232.61826865,0.660364829908371,0.870840179695068,185.6
"60","DSNY_003-M",6676370.63646135,0.651602386612375,0.867694438451732,169.75
"61","DSNY_003-O",6926080.81731402,0.647118435280828,0.868692373930706,85
"62","DSNY_004-M",6512294.64159324,0.647370580251905,0.870326713017364,280.666666666667
"63","DSNY_004-O",5886768.11688711,0.634078377743774,0.874275092999544,92.5
"64","DSNY_005-M",5827824.95463523,0.636632789304121,0.87612802868669,104
"65","DSNY_043-M",6336798.14624633,0.651627143444389,0.873657297759441,102.6
"66","GRSM_001-O",6346686.68593345,0.632838333623632,0.87649655805287,94.8
"67","GRSM_002-O",6796638.38442352,0.649135083211186,0.873213207786003,96.5
"68","GRSM_003-O",6560606.44415621,0.638765852276678,0.872499922412802,96.5
"69","GRSM_006-O",6589328.63579157,0.63429444905459,0.87257438717458,119.6
"70","GRSM_007-O",6458517.42979426,0.636499025754012,0.874841861163411,126.8
"71","GRSM_016-O",6096566.01801998,0.634928327904683,0.872245773311245,115
"72","GRSM_055-O",5487353.39885998,0.642365916573701,0.879878396575894,216.2
"73","GRSM_058-O",5788318.29368534,0.641172240971069,0.878054335692902,105
"74","GRSM_059-O",6610479.69023706,0.631937351235823,0.872360096191795,151.25
"75","GRSM_060-O",6571558.92996183,0.628714154364715,0.87341813927829,197.25
"76","GUAN_001-M",4451315.50434342,0.60549918204439,0.880617003919341,107.4
"77","GUAN_002-M",4792336.30477264,0.623119827005449,0.881717256818821,119.6
"78","GUAN_003-M",4836460.35776428,0.618510447593624,0.880720137989663,130.4
"79","GUAN_004-M",4879931.12990019,0.606195234912627,0.878270444783741,125.8
"80","GUAN_006-M",5017765.34105713,0.631739022028488,0.88061530022285,75.6
"81","GUAN_007-M",4631180.07589316,0.616839456456088,0.881054120197893,185.75
"82","GUAN_049-M",4826189.84373215,0.628967621908378,0.880148309063955,97.4
"83","HARV_001-O",6292429.69500493,0.629934032024209,0.872855452052411,118.2
"84","HARV_002-O",6255617.1558908,0.63253638467252,0.874569120641482,151.4
"85","HARV_004-O",6447153.02981771,0.636972844137096,0.87314229109908,124.4
"86","HARV_013-O",6609249.39459127,0.63689370361695,0.872357838217213,107.4
"87","HARV_033-M",6252627.86807095,0.625333246653383,0.873510089941866,132
"88","HARV_033-O",6265768.94713455,0.627156313288265,0.872169620118089,144.25
"89","HARV_034-M",5660655.50511087,0.625031088476385,0.873606059497394,142
"90","HARV_034-O",6200625.78354815,0.626818632396506,0.8715289802003,149.5
"91","HARV_035-M",5843661.87281487,0.620274107340769,0.873396293673479,143
"92","HARV_035-O",5745522.21988348,0.626646942326339,0.873618067035993,76.5
"93","HARV_037-O",6164101.37504314,0.628077313699834,0.873348055076025,147.8
"94","HEAL_004-O",5537650.63013952,0.621590344508509,0.879518294460348,98.3333333333333
"95","HEAL_025-O",6141456.08051565,0.632526463664785,0.877317419984852,142.666666666667
"96","HEAL_047-O",6073523.56451405,0.634271518671788,0.874319749837548,130.5
"97","HEAL_048-O",6124747.5607638,0.645688739537389,0.880718246790716,141.333333333333
"98","JERC_001-M",6479469.19010262,0.644163992278696,0.874469425149047,105.5
"99","JERC_002-M",6880658.00520484,0.644963541942159,0.872379655127246,274.8
"100","JERC_003-M",6323712.46947382,0.645536674311839,0.873981750150488,279.666666666667
"101","JERC_006-M",6689613.83838151,0.636694776555006,0.871391018276139,95.4
"102","JERC_047-M",6588100.50560908,0.649311389853445,0.875225953588704,113.75
"103","JERC_048-M",6677318.00858036,0.637233167644816,0.872604802627469,222
"104","JERC_049-M",6408480.72406443,0.633983764431018,0.874421646203386,80
"105","JERC_050-M",6305112.97405578,0.633698233622459,0.873596145915257,152.4
"106","JORN_004-M",5987315.8854385,0.620495034503197,0.874302978298751,100.6
"107","JORN_005-M",5830258.93002464,0.635801601763018,0.877818718617904,100.4
"108","JORN_006-M",5991306.9241641,0.635097906481922,0.878011402775651,97.6666666666667
"109","JORN_042-M",6009467.3105948,0.634584284938536,0.879334306530318,136
"110","JORN_047-M",6221638.32679976,0.637150220616584,0.880032987169464,105.75
"111","KONA_001-M",5950085.87666182,0.629898137011686,0.8776302055321,188
"112","KONA_002-M",5698270.61822243,0.605393057301128,0.872454457702214,101.25
"113","KONA_003-M",5855386.31249429,0.634538652118084,0.88041380376625,136
"114","KONZ_001-M",5739589.02779756,0.635370880700397,0.878811180847635,127.5
"115","KONZ_002-M",4728870.79154191,0.612633921592687,0.881308069573334,133.2
"116","KONZ_003-M",5559865.75541904,0.633668424244029,0.880438462888527,189
"117","KONZ_004-M",4682213.42699419,0.61558310288611,0.878656784155818,147
"118","KONZ_005-M",5892216.37006203,0.626445986299453,0.87716858708799,145.4
"119","KONZ_024-M",4961652.51961671,0.618108268466303,0.877116131531673,134
"120","KONZ_043-M",5748750.96138369,0.630154624448955,0.877074624794492,149
"121","KONZ_045-M",5051303.96385116,0.61384705981553,0.879289472601368,141.4
"122","LAJA_001-M",5451034.83127879,0.612389689653233,0.880264801028048,97.2
"123","LAJA_002-M",5894691.66665098,0.623485298996113,0.878327794772083,90.25
"124","LAJA_003-M",4760405.59212645,0.606913141243739,0.881091388438618,92
"125","LAJA_046-M",5008590.45575222,0.607234113496943,0.875202929640942,175
"126","LAJA_051-M",4782699.4834961,0.590033035168743,0.875067893462916,86.8
"127","LENO_001-M",6169581.26080898,0.631595489453074,0.870891238760367,86.75
"128","LENO_003-M",6153736.47810368,0.644319380624101,0.875072577122592,121.6
"129","LENO_004-M",6204113.76092277,0.644470012388947,0.872994305077273,69.5
"130","LENO_005-M",5519316.71510503,0.62686602400243,0.875656824565346,92
"131","LENO_006-M",5772930.85310228,0.634829943007196,0.874171545560671,90
"132","LENO_061-M",6098282.93334987,0.63280076075608,0.87432756730107,113.6
"133","LENO_062-M",6070560.52187307,0.643435984330937,0.874778530336509,79.6
"134","LENO_063-M",5886080.51971022,0.627768934384311,0.876090232884979,105
"135","MLBS_001-M",5992960.91844231,0.64859012794,0.87527743531912,131.5
"136","MLBS_001-O",6019170.01309371,0.624628375902572,0.877872417149181,85
"137","MLBS_005-M",6049851.18766999,0.633906476508973,0.872653486485883,106
"138","MLBS_005-O",6357540.32023576,0.631919972335938,0.870948428620518,65
"139","MOAB_001-M",5846551.27022478,0.620600675730869,0.874599071707307,195.666666666667
"140","MOAB_003-M",5790844.00988367,0.619755194051352,0.877600542822698,179.25
