plotID,horizon,sandTotal,siltTotal,clayTotal,bulkDensThirdBar,bulkDensOvenDry,waterRetentionThirdBar,caco3Conc,gypsumConc,phCacl2,phH2o,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,so4Satx,alKcl,feKcl,mnKcl,alSatCecd33,carbonTot,nitrogenTot,ctonRatio,estimatedOC,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate
OAES_020,M,17.433333333333334,65.76666666666667,16.8,NaN,NaN,NaN,186.66666666666666,NaN,7.733333333333333,8.133333333333333,NaN,0,4.933333333333334,0.2,0,0.7666666666666667,0,49.46666666666667,3.7666666666666666,0.1,2.466666666666667,0,0.36666666666666664,2.0666666666666664,0,7.866666666666667,0.3,NaN,NaN,NaN,NaN,40.5,2.2,8.333333333333334,18,0.11,0,221.8,482.1333333333333,0.023333333333333334
OAES_025,M,14.7,70,15.3,1.36,1.51,21.7,185,NaN,7.75,8.25,NaN,0,5.8,0.3,0,0.89,0,52.7,4.4,0.2,2.4,0,0,1.5,0,7.7,0.7,NaN,NaN,NaN,NaN,30.9,1.15,7,8.5,0.045,0,206,260,0.015
OAES_029,M,15.45,68.65,15.9,1.35,1.415,19.450000000000003,195,NaN,7.800000000000001,8.35,NaN,0,5.2,0.4,0,0.67,0,45.1,5.7,0.5,1.5,0,0.4,0,0,7.8,0.3,NaN,NaN,NaN,NaN,31.45,1.15,7,8.5,0.065,0,190.10000000000002,332.1,0.02
OAES_030,M,24.25,62.349999999999994,13.399999999999999,1.13,1.25,24.65,175,NaN,7.65,8.15,NaN,0,5.2,0.2,0,0.88,0,42.7,4.7,0.5,3.1,0,1.8,1.4,0,7.7,0.3,NaN,NaN,NaN,NaN,31.650000000000002,1.5,7.5,11,0.08499999999999999,0,177.35,291.5,0.025
ONAQ_004,M,31.375,49.175,19.45,1.3275000000000001,1.4525000000000001,24.125,110,0,8.175,8.675,NaN,0,4.225,32.800000000000004,0,4.6525,0.07500000000000001,45.325,6.2,0.375,1.675,42.625,0.375,0.05,0.025,8.2,6.05,NaN,NaN,NaN,NaN,19.35,0.775,6.75,6.25,0.08,0.0425,276.075,486.6,0.0425
ONAQ_008,M,34.25,41.9,23.85,1.1400000000000001,1.205,26.700000000000003,300,NaN,7.6,8.25,NaN,0,4.5,0.3,0,0.49,0,62.7,4.4,0.2,0.6,0.5,0.1,0,0,7.8,0.1,NaN,NaN,NaN,NaN,44.45,0.55,14.5,8,0.07,0.035,167.05,447.5,0.04
ONAQ_011,M,35.1,49.06666666666666,15.833333333333334,1.29,1.335,19.200000000000003,226.66666666666666,0,8.533333333333333,9.066666666666666,NaN,0,2.4,30.43333333333333,2.466666666666667,5.1066666666666665,0.03333333333333333,45.43333333333333,12.533333333333333,4.8999999999999995,1.0333333333333332,46.36666666666667,0.2,0,0.09999999999999999,8.666666666666666,6.3999999999999995,NaN,NaN,NaN,NaN,37.93333333333334,0.5333333333333333,41.5,11,0.06666666666666667,0.03,184.43333333333334,582.1666666666666,0.04
ONAQ_012,M,26.45,49.9,23.65,NaN,NaN,NaN,85,0,7.35,7.75,NaN,0,15.65,0.35,0,1.6,0,53.7,6.1,0.2,1.65,0.8,4.15,4.95,0,7.4,0.85,NaN,NaN,NaN,NaN,31.5,2.3,9,20.5,0.14500000000000002,0.07500000000000001,376.45,574.5,0.07500000000000001
ONAQ_015,M,34.75,49.8,15.45,1.25,1.295,18.35,165,NaN,7.9,8.6,NaN,0,4.05,1.4500000000000002,0,0.825,0,36.35,6.2,1.4,1.1,2.5,0.05,0.05,0.05,8.1,0.35,NaN,NaN,NaN,NaN,24.8,0.35,11,4.5,0.075,0.04,306.95000000000005,529.25,0.04
ONAQ_018,M,47.233333333333334,29.4,23.366666666666667,1.0933333333333333,1.1433333333333333,28.266666666666666,416.6666666666667,0,7.7,8.133333333333333,NaN,0,5.2,7.333333333333333,0,1.3466666666666667,0,53.13333333333333,4.4,0.4666666666666667,1.5666666666666669,6.3999999999999995,0,0.9,0,7.833333333333333,0.7666666666666667,NaN,NaN,NaN,NaN,55.13333333333333,1,5,5,0.04666666666666667,0.026666666666666665,179.03333333333333,270.9,0.03
ONAQ_024,M,45.55,41.150000000000006,13.3,1.22,1.2850000000000001,16.15,150,0,7.75,8.350000000000001,NaN,0,6.7,0.4,0,0.76,0,47.1,6.9,0.6,0.9,0.7,0.1,0.1,0.1,8,0.3,NaN,NaN,NaN,NaN,25.549999999999997,0.65,12,8,0.065,0.03,293.35,415.35,0.035
ONAQ_025,M,29.15,49,21.85,1.08,1.17,30.05,95,0,7.5,7.949999999999999,NaN,0,10.15,0.6499999999999999,0,1.2149999999999999,0,52.599999999999994,4.55,0.4,1.5,0.7,3.6999999999999997,2.8,0.05,7.75,0.35,NaN,NaN,NaN,NaN,28.200000000000003,1.4500000000000002,11.5,17,0.11,0.045,361.05,523.9000000000001,0.05
ONAQ_029,M,30.4,43.7,25.9,1.145,1.205,16.200000000000003,250,NaN,7.55,8,NaN,0,8.2,0.45,0,0.9299999999999999,0,47.85,5.6,0.2,1.1,0.6499999999999999,1.85,1.15,0,7.55,0.25,NaN,NaN,NaN,NaN,45.150000000000006,1.4,10,15,0.08,0.04,176.8,327.65,0.045
ONAQ_030,M,31.8,52.3,15.9,NaN,NaN,NaN,10,NaN,7.4,7.9,NaN,0,10.3,0.3,0,1.31,0,38.9,4.4,0.2,2.3,0.8,3.6,4.1,0,7.5,0.5,NaN,NaN,NaN,NaN,12.5,1.1,10,11,0.13,0.07,580.8,383.4,0.06
ONAQ_032,M,31.15,44.55,24.3,1.04,1.14,28,540,0,7.699999999999999,8.05,NaN,0,13.100000000000001,14.7,0,2.85,0.05,53.6,6.550000000000001,0.95,5.55,10.9,2.3,1.75,0,7.699999999999999,2.85,NaN,NaN,NaN,NaN,83.05,1.6,8,19,0.055,0.025,142.2,346.25,0.025
ORNL_001,M,46.4,39.733333333333334,13.866666666666667,1.455,1.49,15.9,NaN,NaN,4.133333333333333,4.766666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9000000000000001,NaN,62.9,59.666666666666664,20.866666666666667,1.4333333333333333,12.666666666666666,21,0.09666666666666666,0.11,882.1666666666666,95.73333333333333,0.01
ORNL_001,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5.4,NaN,0,5.7,0.5,0,0.86,0.8,380.8,3.2,1.9,3,0.2,0,0.1,2.4,5.4,0.5,0.1,NaN,756,0,332.4,10.3,32,332,0.08,0.17,2372.1,325.4,0.01
ORNL_003,M,25.55,54.65,19.8,1.35,1.37,21.9,NaN,NaN,3.95,4.949999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4,NaN,51.849999999999994,62,14.700000000000001,1.1,11,14.5,0.12000000000000001,0.14500000000000002,638.9,209.05,0.01
ORNL_003,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.4,5.7,NaN,0,10.6,0.6,0,1.28,0.3,495.9,5.1,2.4,3.2,0.3,1,2.2,3.3,5.7,0.7,NaN,NaN,NaN,NaN,345,15,23,345,0.06,0.09,2604.2,523,0.01
ORNL_004,M,27.3,47.35,25.35,NaN,NaN,NaN,NaN,NaN,4.15,4.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.55,NaN,9.35,91,8.65,0.45,18.5,8.5,0.07500000000000001,0.09,174.60000000000002,103.95,0
ORNL_004,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,NaN,174.5,29,448.2,16.9,26,448,0.11,0.07,140.6,242.6,0
ORNL_007,M,17.3,61.400000000000006,21.3,NaN,NaN,NaN,NaN,NaN,4.199999999999999,4.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.45,NaN,84.35,58,8.45,0.8500000000000001,9.5,8.5,0.175,0.22999999999999998,2871.75,253.75,0.01
ORNL_008,M,36.3,49.3,14.4,1.47,1.51,18.3,NaN,NaN,4.3,4.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8,NaN,30.7,79,30.666666666666668,1.8,16.666666666666668,30.666666666666668,0.19666666666666666,0.13,847.9666666666667,165.53333333333333,0.013333333333333334
ORNL_009,M,53.96666666666667,39.46666666666667,6.566666666666666,NaN,NaN,NaN,NaN,NaN,3.9,4.233333333333333,NaN,0,2.2,0.6,0,0.8,0,72.5,0,0.4,1.9,0.4,0,4.7,0,3.9,0.7,2.9,NaN,20.1,79.33333333333333,26.3,1.1666666666666667,20,26.333333333333332,0.08,0.08333333333333333,27.96666666666667,197.56666666666666,0
ORNL_010,M,52.766666666666666,34.06666666666666,13.166666666666666,1.37,1.415,19.2,NaN,NaN,3.8,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.833333333333333,NaN,11.3,84.66666666666667,13.200000000000001,0.7999999999999999,14.333333333333334,13,0.10333333333333333,0.08333333333333333,63.33333333333333,93.8,0.01
ORNL_012,M,23.066666666666666,48.43333333333333,28.5,1.26,1.3266666666666667,24.4,NaN,0,4.766666666666667,5.4,NaN,0,21.5,0,0,2.86,0,76.9,4.2,0.9,7.7,0.3,6,14.9,0,5.9,1.3,3.2,NaN,18.45,32,17.566666666666666,1.7333333333333334,8,17.666666666666668,0.11333333333333333,0.1766666666666667,721.1333333333333,301.03333333333336,0.016666666666666666
ORNL_014,M,26.8,55.55,17.65,1.38,1.41,22.1,NaN,0,4.65,5.05,NaN,0,19.3,0,0,2.95,0,67.4,1.1,1.5,6.8,0.2,0.9,23.2,0,5.5,0.6,1.5,NaN,25.9,94,24.45,1.7999999999999998,13.5,24.5,0.135,0.08499999999999999,1109.8,144.64999999999998,0.01
ORNL_015,M,31.6,47.9,20.5,NaN,NaN,NaN,NaN,NaN,4.1,4.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3,NaN,54.7,62,12.1,1.2,10,12,0.15,0.13,1087.5,265.5,0
ORNL_015,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6.2,NaN,0,9.7,0.5,0,0.97,0.2,621.3,6.4,2.7,4.4,0.2,0,0.1,0.9,6.2,0.3,NaN,NaN,NaN,NaN,416.9,16.1,26,417,0.25,0.05,2233.2,617.1,0.04
ORNL_018,M,68.75,24.9,6.35,NaN,NaN,NaN,NaN,NaN,4.45,5.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7,NaN,9.45,60,10.4,0.6,17,10.5,0.07,0.06,291.20000000000005,186.85000000000002,0
ORNL_018,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.5,5.8,NaN,0,10.7,0.8,0,1.21,0.3,537.2,6.7,3.2,5.1,0.5,0,0.2,1.3,5.6,0.4,NaN,NaN,NaN,NaN,399.9,16.2,25,400,0.18,0.16,2622.6,492.8,0.02
ORNL_021,M,15.466666666666667,58.4,26.133333333333333,1.2966666666666666,1.3499999999999999,24.9,NaN,0,4.4,4.966666666666667,NaN,0,16,0,0,2.85,0,63,0,2,7,0.2,0,25.1,0,4.5,0,0.6666666666666666,NaN,66.5,18,12.166666666666666,1.3666666666666667,7.666666666666667,12,0.11,0.13333333333333333,1542.5666666666666,217.33333333333334,0.01
ORNL_027,M,30.3,44.46666666666667,25.233333333333334,1.465,1.56,19.299999999999997,NaN,NaN,4.6000000000000005,5.233333333333333,NaN,0,8,0.7,0,1.34,0,60.9,2.5,1,3.1,0.3,3,3.9,0,5.7,0.9,1.7,NaN,47.900000000000006,50.5,16.033333333333335,1.3666666666666667,9.333333333333334,16.333333333333332,0.11,0.12333333333333334,838.9666666666667,141.2,0.013333333333333334
ORNL_029,M,2.1333333333333333,30.099999999999998,67.76666666666667,1.2933333333333334,1.6033333333333333,31.833333333333332,NaN,NaN,5.3,6.066666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,NaN,52.6,0,39.4,3.2333333333333334,12,39.666666666666664,0.17,0.19666666666666666,1121.9333333333334,110.60000000000001,0.016666666666666666
ORNL_031,M,35.05,44,20.950000000000003,1.375,1.435,20.15,NaN,0,4.7,5.15,NaN,0,11.6,0.4,0,2.13,0,53.6,0,0.4,5.9,0.3,0,17.8,0,4.9,0,0.35,NaN,81.9,11.5,14,1.5,9,14,0.21500000000000002,0.18,3364.5,195.85,0.015
ORNL_032,M,12.666666666666666,56.266666666666666,31.066666666666666,1.28,1.3733333333333333,24,NaN,NaN,4.5,5.266666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3,NaN,94.10000000000001,27,13.866666666666667,0.9,14.333333333333334,13.666666666666666,0.15666666666666668,0.18,2205.4666666666667,123.60000000000001,0.013333333333333334
