,ID,AGS,bp,Genomes,reads,GC,GC_bact,AA_CN
23,BMI_Plate61WellG12,6007577.75934,3640120574,605.921507773,2000000,0.7091252129750888,0.7119310709282477,3.421788668799742
24,BMI_Plate41WellF12,7627101.435310001,10661262126,1397.81307701,2000000,0.6128863003360296,0.6323631280908967,3.5382360701677302
25,BMI_Plate35WellE2,5969087.48387,856769992,143.534500762,2000000,0.6927960066194788,0.6969078455690956,3.506445517656141
26,BMI_Plate41WellC10,8314924.88259,4740071957,570.067922914,2000000,0.6008837185717562,0.6070582775789571,3.532858946620532
27,BMI_Plate68WellD5,7569897.073,2154497479,284.613840614,2000000,0.6328629945663277,0.6527135880094534,3.5209578270137247
28,BMI_Plate19WellA12_mms,6017326.851980001,683745345,113.629417484,2000000,0.6960141089516492,0.6972895178715625,3.454769010358953
29,BMI_Plate19WellB9_mms,7610163.2774600005,865956870,113.789525721,2000000,0.6190331297836599,0.6322473621558926,3.4509485026360323
30,BMI_Plate88WellD10,7193428.46915,1922785620,267.297524156,2000000,0.6000645339169735,0.6106948016923375,3.5403456599001477
31,BMI_Plate72WellH4,6548297.207230001,6408579034,978.663434355,2000000,0.6145252859867804,0.6276264447393186,3.5362921123674056
32,BMI_Plate81WellH4,6023140.22391,3896190110,646.870231334,2000000,0.6584382182490949,0.6670384068459375,3.5020762678757604
33,BMI_Plate41WellF5,7522428.2472,1964080436,261.09659959,2000000,0.5960404632923453,0.5994855004045534,3.5457571806846766
34,BMI_Plate71WellB12,6448274.1701,3879876662,601.692260542,2000000,0.6390996456845079,0.6416998542218154,3.5319228413219905
35,BMI_18S_05_0430,7452393.96623,4786893649,642.329655503,2000000,0.593717075624172,0.5989391117973862,3.5497583230975165
36,BMI_Plate61WellF3,6663223.36549,3050712173,457.843299806,2000000,0.6186966238998678,0.6201091504803717,3.523557069214293
37,BMI_Plate67WellD2,7057295.3202100005,2855018530,404.548541681,2000000,0.6255234982209735,0.6373461282153133,3.5059326801219957
38,BMI_Plate71WellC11,7608822.3742,2125183286,279.305151505,2000000,0.6402246479591037,0.6535458148421589,3.4936787861167122
39,BMI_Plate88WellB4,5841712.304330001,5956763764,1019.69481783,2000000,0.6521910153585355,0.6681303394206632,3.4818916400557
40,BMI_Plate10WellB2_mms,6734191.994659999,2379212001,353.303262349,2000000,0.656452609218099,0.6593451723937784,3.4988246825668585
