"","plotID","horizon","year","collectDate","mean_pH_CaCl","mean_pH_water","sd_pH_CaCl","sd_pH_water"
"5154","STER_012","M",2018,2018-04-23,6.86,7.6,0.495176736125598,0.485695377783236
"5155","STER_012","M",2018,2018-07-18,6.31333333333333,7.16333333333333,0.302379452564709,0.195021366350801
"5156","STER_012","M",2018,2018-10-23,6.43,7.26666666666667,0.121243556529822,0.0950438495292219
"5157","STER_012","M",2019,2019-04-23,6.78,7.55,0.235159520326097,0.242487113059643
"5158","STER_012","M",2019,2019-07-15,6.51,7.48666666666667,0.19,0.238607068908977
"5159","STER_012","M",2019,2019-10-22,6.84666666666667,7.71333333333333,0.315330514434194,0.320364375880549
"5160","STER_012","M",2020,2020-06-16,6.52333333333333,6.99333333333333,0.284312035153866,0.306648550189518
"5161","STER_012","M",2020,2020-10-20,6.69333333333333,7.23,0.0757187779440039,0.150996688705415
"5162","STER_016","M",2016,2016-11-29,5.91666666666667,6.8,0.548482755730144,0.298161030317511
"5163","STER_016","M",2017,2017-04-11,5.93333333333333,6.85666666666667,0.29022979401387,0.224796204001165
"5164","STER_016","M",2017,2017-06-06,6.24666666666667,7.14333333333333,0.0802080627701065,0.144337567297406
"5165","STER_016","M",2017,2017-10-23,6.33333333333333,7.11666666666667,0.323470761172217,0.209841209807162
"5166","STER_016","M",2018,2018-04-23,6.35,7.25,0.244335834457412,0.313209195267317
"5167","STER_016","M",2018,2018-07-18,6.22,6.84,0.158745078663876,0.0264575131106458
"5168","STER_016","M",2018,2018-10-22,6.13,7.08,0.101488915650922,0.03605551275464
"5169","STER_016","M",2019,2019-04-22,6.3,7.09,0.410731055558257,0.374032084185301
"5170","STER_016","M",2019,2019-07-15,6.45666666666667,7.49,0.153731367434669,0.147309198626562
"5171","STER_016","M",2019,2019-10-21,6.16,7.04,0.278388218141501,0.233023603954621
"5172","STER_016","M",2020,2020-06-16,6.27,6.75,0.31,0.32
"5173","STER_016","M",2020,2020-10-20,6.50333333333333,7.25333333333333,0.134288247189891,0.0907377172587746
"5174","STER_018","M",2014,2014-05-30,6.79333333333333,7.68666666666667,0.713185342904167,0.162890556304941
"5175","STER_018","M",2014,2014-06-18,6.87333333333333,7.65666666666667,0.258907963055085,0.219393102292058
"5176","STER_018","M",2014,2014-08-20,6.40333333333333,7.04666666666667,0.620671679177754,0.51733290377989
"5177","STER_018","M",2014,2014-09-17,6.33333333333333,6.82,0.455668007801001,0.893700173436259
