"","plotID","horizon","lipids_total","lipid_fungi_perc","lipid_gram_pos_perc","lipid_gram_neg_perc","lipid_FtoB"
"59","DEJU_047","O",5803.16333333333,16.6833333333333,10.92,10.7,0.739
"60","DEJU_048","M",540.06,12.1166666666667,11.59,11.45,0.505666666666667
"61","DEJU_048","O",2609.94666666667,16.6933333333333,11.6466666666667,9.96666666666667,0.73
"62","DELA_001","M",54.6955555555556,9.24111111111111,23.2066666666667,17.9677777777778,0.227
"63","DELA_002","M",83.57,10.5266666666667,25.975,18.2433333333333,0.235
"64","DELA_003","M",111.703333333333,10.9755555555556,22.7444444444444,18.8677777777778,0.259333333333333
"65","DELA_004","M",107.451111111111,10.9166666666667,23.3233333333333,18.5622222222222,0.256555555555556
"66","DELA_005","M",78.3666666666667,9.18111111111111,24.4088888888889,17.6888888888889,0.215555555555556
"67","DELA_014","M",77.1044444444444,9.31777777777778,25.2077777777778,18.3166666666667,0.211333333333333
"68","DELA_037","M",98.1711111111111,8.25111111111111,26.2455555555556,20.6222222222222,0.173444444444444
"69","DELA_038","M",115.16,8.73777777777778,23.1711111111111,22.6277777777778,0.189888888888889
"70","DELA_040","M",95.7977777777778,9.64888888888889,24.96,20.4033333333333,0.211444444444444
"71","DELA_041","M",106.256666666667,8.78666666666667,24.6033333333333,23.295,0.182
"72","DSNY_001","M",57.3666666666667,17.2833333333333,17.9866666666667,5.47333333333333,0.700666666666667
"73","DSNY_003","M",86.4166666666667,20.69,20.6066666666667,0.976666666666667,0.948333333333333
"74","DSNY_004","M",88.0533333333333,26.9933333333333,17.4633333333333,1.23666666666667,1.47466666666667
"75","DSNY_005","M",71.7833333333333,22.1966666666667,19.2333333333333,3.74,0.943
"76","DSNY_006","M",53.18,21.05,17.59,1.09666666666667,1.13933333333333
"77","DSNY_009","M",136.593333333333,16.7133333333333,19.96,3.68,0.699
"78","DSNY_041","M",66.9533333333333,16.2333333333333,17.9366666666667,3.94333333333333,0.739666666666667
"79","DSNY_042","M",329.936666666667,15.5333333333333,17.1166666666667,5.36666666666667,0.663
"80","DSNY_043","M",153.39,16.57,16.7866666666667,2.74333333333333,0.858333333333333
"81","DSNY_044","M",176.696666666667,13.37,16.3266666666667,2.13333333333333,0.674
"82","GRSM_001","O",2051.91,14.7866666666667,13.7466666666667,6.98,0.704
"83","GRSM_002","O",2313.02333333333,21.7733333333333,14.2466666666667,8.28,0.955666666666667
"84","GRSM_003","O",2567.78666666667,18.94,14.93,7.69,0.827333333333333
"85","GRSM_006","O",2745.99,21.13,13.44,6.26,1.045
"86","GRSM_007","M",184.43,14.32,16.64,8.54,0.557
"87","GRSM_007","O",691.23,16.115,13.445,9.065,0.7085
"88","GRSM_016","O",3421.61666666667,15.0933333333333,13.8833333333333,9.27666666666667,0.688
"89","GRSM_055","O",1794.09333333333,8.94666666666667,11.8133333333333,7.85,0.426
"90","GRSM_058","O",1808.15,8.99666666666667,13.1933333333333,7.34,0.426
"91","GRSM_059","O",3617.03333333333,16.1866666666667,12.2066666666667,7.45,0.763666666666667
"92","GRSM_060","O",2787.96333333333,13.36,13.95,5.29666666666667,0.673666666666667
"93","GUAN_001","M",259.873333333333,9.25833333333333,21.9083333333333,10.8033333333333,0.295666666666667
"94","GUAN_002","M",745.47,9.99166666666667,19.205,12.8833333333333,0.315
"95","GUAN_003","M",744.731666666667,9.16333333333333,17.7216666666667,12.9916666666667,0.319333333333333
"96","GUAN_004","M",518.12,9.20666666666667,18.4966666666667,12.35,0.324166666666667
"97","GUAN_006","M",572.501666666667,8.435,22.2216666666667,12.2116666666667,0.249166666666667
"98","GUAN_007","M",825.82,8.47166666666667,17.0116666666667,14.27,0.294833333333333
"99","GUAN_042","M",739.503333333333,8.955,17.5333333333333,13.775,0.306166666666667
"100","GUAN_043","M",343.906666666667,8.91166666666667,18.575,12.3966666666667,0.289666666666667
"101","GUAN_048","M",460.598333333333,9.545,19.8033333333333,11.94,0.322833333333333
"102","GUAN_049","M",575.566666666667,8.695,21.5866666666667,13.2633333333333,0.275666666666667
"103","HARV_001","M",521.694285714286,9.89,13.6028571428571,7.64428571428571,0.444857142857143
"104","HARV_001","O",3456.71285714286,13.7771428571429,11.04,10.6642857142857,0.625
"105","HARV_002","M",646.693333333333,9.44666666666667,10.4833333333333,10.5866666666667,0.4535
"106","HARV_002","O",5384.494,18.512,9.932,9.83,0.931
"107","HARV_004","M",772.158333333333,8.315,10.6066666666667,7.35166666666667,0.426
"108","HARV_004","O",3427.59333333333,11.32,10.77,11.2116666666667,0.508666666666667
"109","HARV_005","M",739.698,8.582,10.904,7.106,0.4366
"110","HARV_005","O",3880.31833333333,14.0533333333333,10.0966666666667,10.5883333333333,0.677166666666667
"111","HARV_013","M",536.108333333333,7.4,12.5816666666667,7.61666666666667,0.3425
"112","HARV_013","O",2679.00333333333,10.2216666666667,12.0033333333333,13.8016666666667,0.398166666666667
"113","HARV_021","M",633.718333333333,8.52166666666667,10.465,9.26,0.403
"114","HARV_021","O",2971.57333333333,11.1366666666667,10.4666666666667,9.84666666666667,0.514333333333333
"115","HARV_033","M",1185.44166666667,9.74666666666667,10.7383333333333,10.9516666666667,0.437666666666667
"116","HARV_033","O",4273.964,12.492,10.6,12.29,0.5396
"117","HARV_034","M",759.413333333333,9.78666666666667,11.2116666666667,6.59166666666667,0.5365
"118","HARV_034","O",3060.62,12.064,11.326,8.602,0.571
