"","siteID","horizon","mega_coarseFrag2To5","mega_coarseFrag5To20","mega_sandTotal","mega_siltTotal","mega_clayTotal","mega_carbonateClay","mega_clayFineContent","mega_siltFineContent","mega_siltCoarseContent","mega_sandVeryFineContent","mega_sandFineContent","mega_sandMediumContent","mega_sandCoarseContent","mega_sandVeryCoarseContent","mega_carbonTot","mega_nitrogenTot","mega_sulfurTot","mega_estimatedOC","mega_airDryOvenDry","mega_alMjelm","mega_caMjelm","mega_feMjelm","mega_kMjelm","mega_mgMjelm","mega_mnMjelm","mega_naMjelm","mega_pMjelm","mega_siMjelm","mega_srMjelm","mega_tiMjelm","mega_zrMjelm","mega_phCacl2","mega_phH2o","mega_ec12pre","mega_gypsumConc","mega_caco3Conc","mega_caNh4d","mega_kNh4d","mega_mgNh4d","mega_naNh4d","mega_cecdNh4","mega_alSatCecd33","mega_baseSumCecd10","mega_bsesatCecd10","mega_ececCecd33","mega_alKcl","mega_feKcl","mega_mnKcl","mega_bSatx","mega_brSatx","mega_caSatx","mega_clSatx","mega_co3Satx","mega_ecSatp","mega_flSatx","mega_waterSatx","mega_hco3Sx","mega_kSatx","mega_mgSatx","mega_naSatx","mega_no2Satx","mega_no3Satx","mega_pSatx","mega_phSp","mega_so4Satx","mega_cton"
"45","SCBI","O",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381.1,11.1,1.1,381,1.092,21512,24173,37322,2300,2579,1124,304,917,80618,267,6412,64,5.4,5.6,NA,NA,0,58.6,3.5,12.8,0,55.4,NA,75.7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3333333333333
"46","SERC","M",0,0,61.3666666666667,25.6666666666667,12.9666666666667,NA,NA,16.2,9.46666666666667,19.4,35,6.23333333333333,0.666666666666667,0.0666666666666667,15.1666666666667,0.966666666666667,0.133333333333333,14.3333333333333,1.01733333333333,23905,1112,25719,11164.6666666667,3780.33333333333,289,1358.33333333333,338.333333333333,349013,30.6666666666667,5079,169,4.66666666666667,5.86666666666667,0.07,NA,0,3.13333333333333,0.233333333333333,1.1,0,9.66666666666667,NA,4.46666666666667,42.3333333333333,NA,1.66666666666667,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6896551724138
"47","SERC","O",0,0,61.7,26.8,11.5,NA,NA,16.2,10.6,20.6,35.5,4.9,0.7,0,79.9,4.4,0.4,79,1.03,20012,3602,19324,9160,3384,297,1235,442,301884,46,4452,149,5.9,6.8,0.42,NA,0,14.2,0.5,3.6,0,20.7,NA,18.3,88,NA,NA,NA,NA,NA,0,6.1,0.6,0,0.91,0,88.6,4.8,0.5,3.9,0,0.1,0.1,0,5.7,0.4,18.1590909090909
"48","SJER","M",40,6.5,78.95,15.75,5.3,NA,NA,10.4,5.35,7.85,15.3,22.45,25.05,8.3,8.1,0.7,0.05,8,1.005,68271.5,14119,12705,12252.5,2853.5,278.5,24986.5,322.5,290343,331.5,1605,23,5.15,5.6,0.265,NA,NA,3.45,0.3,0.35,0,4.2,NA,4.1,93,NA,NA,NA,NA,NA,0,13.2,1,0,2.13,0.1,34.2,1.1,1.8,3.5,0.8,1.2,15.9,0.3,5.5,0.4,11.5714285714286
"49","SOAP","M",48,2.5,58.55,28.8,12.65,NA,NA,19.9,8.9,8.9,14.9,13.3,12.9,8.55,45.6,1.85,0,45.5,1.017,78334.5,10107.5,36703,18703.5,7709,1000.5,8506,941.5,269199.5,137.5,4646,34,5.05,5.95,0.105,NA,NA,8.25,0.75,1.05,0,19.75,8,10.05,47.5,10.55,0.5,NA,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6486486486486
"50","SOAP","O",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460.6,13.4,0.2,461,1.053,14826,9990,6568,4380,2575,474,1471,841,53737,74,840,5,4.6,5,1.9,0,NA,35.1,2.5,8.3,0,69.4,0,45.9,66,46.1,0.2,NA,31.3,NA,0,6.5,0.4,0,0.89,0.4,347.7,1.6,3,3.8,0,0,0.3,0,4.7,0.4,34.3731343283582
"51","SRER","M",60,37,68.7,23.65,7.65,1.65,NA,9.95,13.7,12.3,17.4,17.75,14.75,6.5,20.3,0.8,0.1,3,1.0085,51313,64144.5,15809.5,21844,9723,565,12706,307,255773,194.5,2190.5,29.5,7.8,8.55,0.165,NA,145,49,0.35,1.25,0,7.95,NA,50.6,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.375
"52","STEI","M",28,26,50.2,40.55,9.25,NA,NA,22,18.55,7.1,16.8,21.9,3.5,0.9,25.1,1.6,0.25,25,1.0215,38706,4795,19427.5,15777.5,2785,337.5,7455.5,359,352845,95,3838,163,4.4,5.15,0.05,NA,NA,1.65,0.15,0.4,0,9.75,52.5,2.2,20.5,4.15,1.95,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6875
"53","STER","M",0,0,44.9,35.5,19.6,NA,NA,15.85,19.65,16.55,12.05,11.3,4.35,0.65,11.1,0.8,0.05,10.5,1.021,58744,10328,18167.5,23305,5313.5,465.5,12209,517.5,315410.5,222.5,2728.5,144.5,6.5,7.15,0.205,NA,5,14.45,1.6,2.05,0,16.5,NA,18.1,99.5,NA,NA,NA,NA,NA,0,2.55,0.2,0,0.425,0,42.2,2.65,0.65,0.65,0,0.55,0.05,0,6.8,0.4,13.875
"54","TALL","M",11.5,30.5,90.1,6.85,3.05,NA,NA,5.2,1.65,2.65,25.75,57.95,3.5,0.25,16.15,1.2,0.1,16.5,1.0025,11191.5,209,6560,892,295,79,179,117,367743,11.5,2008,81,4.2,5.15,0.035,NA,NA,0.3,0.05,0.05,0,3.2,70.5,0.4,10.5,1.15,0.75,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4583333333333
