"","ID","FtoB","GC_adj"
"59","BMI_Plate28WellG10",0.0160283699884118,0.628983382302451
"60","BMI_Plate28WellG2",0.00441149806888345,0.65206168811511
"61","BMI_Plate28WellG7",0.0154577771177374,0.616909158231571
"62","BMI_Plate28WellH1",0.00420173489886789,0.620103993101876
"63","BMI_Plate28WellH10",0.0258716041289376,0.594770483153852
"64","BMI_Plate28WellH2",0.0108660417203113,0.654335776159859
"65","BMI_Plate28WellH4",0.00275729132860926,0.640577428230119
"66","BMI_Plate28WellH5",0.00403784607347832,0.637851149218651
"67","BMI_Plate28WellH6",0.0028246028026876,0.624874495813615
"68","BMI_Plate28WellH7",0.00158598186986071,0.653777320491868
"69","BMI_Plate28WellH8",0.0126055781963184,0.640351915917369
"70","BMI_Plate2WellA6",0.023851209485629,0.641198564432267
"71","BMI_Plate2WellG8",0.00566332852812826,0.69446724008415
"72","BMI_Plate35WellC2",0.00653546832116303,0.703438012757598
"73","BMI_Plate35WellC5",0.00459762825443148,0.634081260267589
"74","BMI_Plate35WellE1",0.00704917148227627,0.705460769971936
"75","BMI_Plate35WellE2",0.00247744449081996,0.697629263680756
"76","BMI_Plate35WellE3",0.00205988886463241,0.66529882604012
"77","BMI_Plate35WellE4",0.018876280840629,0.672264074728209
"78","BMI_Plate35WellE6",0.00595432883003796,0.647880956155099
"79","BMI_Plate35WellF1",0.00675615345946861,0.710954740636207
"80","BMI_Plate35WellF4",0.013353355248889,0.636907782149955
"81","BMI_Plate35WellF5",0.0179720495906157,0.616763286282622
"82","BMI_Plate35WellG1",0.0045114287005466,0.69253880688528
"83","BMI_Plate35WellG2",0.00590082704578171,0.713016834356569
"84","BMI_Plate35WellG3",0.00830937900015557,0.666748651187287
"85","BMI_Plate35WellG4",0.0143799411015845,0.601918526399262
"86","BMI_Plate35WellG5",0.0868686820497243,0.619369559764468
"87","BMI_Plate35WellG6",0.113307995095721,0.592402822198342
"88","BMI_Plate35WellH1",0.00854314506536103,0.68832129669245
"89","BMI_Plate35WellH2",0.0064968388026888,0.702724289133662
"90","BMI_Plate35WellH3",0.0161740143714739,0.690421556371117
"91","BMI_Plate35WellH4",0.021981587050144,0.601162316238777
"92","BMI_Plate35WellH6",0.0568783276618097,0.624864060330114
"93","BMI_Plate3WellH4",0.0102382642205121,0.659597845513359
"94","BMI_Plate3WellH9",0.00485742283937089,0.695004540327151
"95","BMI_Plate41WellA10",0.00573676035103714,0.67375790646646
"96","BMI_Plate41WellA7",0.0225966133731221,0.652298388389327
"97","BMI_Plate41WellA9",0.0104255909046288,0.700705021306901
