"","siteID","plotID","root_d15N_m","root_d13C_m","root_NPerc","root_CPerc","root_CN","root_live_mass","root_dead_mass","root_liveC","root_liveN","root_d15N_m_Coarse","root_d15N_m_Fine","root_d13C_m_Coarse","root_d13C_m_Fine","root_NPerc_Coarse","root_NPerc_Fine","root_CPerc_Coarse","root_CPerc_Fine","root_CN_Coarse","root_CN_Fine","root_live_mass_Coarse","root_live_mass_Fine","root_dead_mass_Coarse","root_dead_mass_Fine","root_liveN_Coarse","root_liveN_Fine","root_liveC_Coarse","root_liveC_Fine"
"402","TOOL","TOOL_052",-1.82270674538485,-27.9636075252236,0.734422831211173,49.4627660043178,70.4839207824823,4.5394,0.82245,2.2453128,0.03333839,-2.9,-0.996395414468946,-28,-27.9356935713034,0.61,0.829858307868974,49.77,49.2271097140855,82,61.6507950719165,1.97045,2.56895,0.3384,0.48405,0.012019745,0.021318645,0.980692965,1.264619835
"403","TOOL","TOOL_053",0.261828436246443,-27.0997531456783,1.10074056296499,44.6059370178627,43.2696626324271,2.9167,0.4956,1.301021365,0.0321053,-5,0.821593172119488,-28.1,-26.9933447131342,0.71,1.14230839260313,50.37,43.9927434803224,71.3,40.2877344713134,0.28045,2.63625,0,0.4956,0.001991195,0.030114105,0.141262665,1.1597587
"404","TOOL","TOOL_054",0.368780436669658,-26.9175754755845,1.0134765297415,46.8496027416911,48.5797444423193,4.53126666666667,1.24043333333333,2.1228804325,0.0459233241666667,-1,0.482133597256684,-28,-26.8279363796036,0.87,1.02535828789683,46.88,46.8470854458486,53.9,48.13915677286,0.34655,4.18471666666667,0.13415,1.10628333333333,0.003014985,0.0429083391666667,0.16246264,1.9604177925
"405","TOOL","TOOL_055",-1.64411554411554,-27.4879951379951,0.82721685971686,48.885023058773,60.8353764478764,2.7972,1.21475,1.367411865,0.02313891,-2.9,-1.44058410535499,-27.8,-27.4374309334884,0.87,0.820283328486561,51.59,48.4466484566491,59.4,61.0679967595862,0.3901,2.4071,0.1502,1.06455,0.00339387,0.01974504,0.20125259,1.166159275
"406","TOOL","TOOL_056",-0.523785943080152,-26.9012094547329,1.04244265675049,47.8520396892603,48.3107838444829,1.35805,0.70315,0.649854625,0.0141568925,-5.2,-0.185563978048877,-27.7,-26.8434344032532,0.83,1.05780824351534,50.34,47.6720900943582,60.8,47.4074618026768,0.0916,1.26645,0.13755,0.5656,0.00076028,0.0133966125,0.04611144,0.603743185
"407","TOOL","TOOL_057",1.05766461523243,-27.0253110713857,1.35894324051241,46.2834630141245,36.3136235488635,2.35878333333333,0.677483333333333,1.09172661166667,0.0320545266666667,-0.5,1.34005609021176,-27.8,-26.8848664936106,0.95,1.43308120560568,44.94,46.5270215429816,47.5,34.285627717913,0.362,1.99678333333333,0,0.677483333333333,0.003439,0.0286155266666667,0.1626828,0.929043811666667
"408","TOOL","TOOL_058",1.57528725694474,-26.5071029629181,1.19628710132021,45.8944819000026,42.0135860214589,3.85543333333333,1.39625,1.76943115333333,0.0461220516666667,0,1.78337868391947,-26.7,-26.4816217565359,0.74,1.25656146309474,49.19,45.4591523681815,66.6,38.7657834721583,0.449866666666667,3.40556666666667,0.0463,1.34995,0.00332901333333333,0.0427930383333333,0.221289413333333,1.54814174
"409","TOOL","TOOL_059",-2.18586272538442,-27.6268016719148,0.847007139831482,48.8881655379371,59.7315203911342,3.26571666666667,0.6712,1.59654897,0.0276608533333333,-3,-1.78277606519351,-27.1,-27.8876259003785,0.86,0.840574258332316,49.65,48.5109744689293,57.8,60.6878334452448,1.08145,2.18426666666667,0.0638,0.6074,0.00930047,0.0183603833333333,0.536939925,1.059609045
"410","TOOL","TOOL_060",0.621357462679591,-26.5121192009647,0.708898054758411,47.4677862010301,69.0497691135643,3.56596666666667,0.7978,1.69268543333333,0.0252790683333333,0.3,0.693770187615971,-26.9,-26.4247165143289,0.59,0.735689815132981,48.95,47.1337932100887,82.8,65.951376194076,0.655766666666667,2.9102,0.01485,0.78295,0.00386902333333333,0.021410045,0.320997783333333,1.37168765
"411","TOOL","TOOL_061",-0.715669440844567,-27.1882248849355,0.751680953754612,46.9302010669032,63.6544546867533,3.87101666666667,1.11685,1.816675905,0.029097695,-2,-0.419310070741595,-27.4,-27.1393577617042,0.69,0.765913838327637,48.45,46.5795073523567,69.9,62.2132946506637,0.725766666666667,3.14525,0.23165,0.8852,0.00500779,0.024089905,0.35163395,1.465041955
"412","TOOL","TOOL_062",0.586442748203603,-26.4149888676553,1.08825231358366,44.7152885789846,47.5241650741484,4.54381666666667,1.36101666666667,2.031780735,0.04944819,-2.2,1.39116892080345,-27.5,-26.1016370658561,0.6,1.2292598457953,47.98,43.7724381550273,79.7,38.2317665467507,1.0182,3.52561666666667,0.23845,1.12256666666667,0.0061092,0.04333899,0.48853236,1.543248375
