,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
84,K00411,,,0.6289869670068862,,,,,,46.097100000000005,,,
85,K00412,,,0.628,,0.2918441586615039,,,,9.9703,,45.2549,
86,K00413,,,0.6114096661115584,,,,,,30.169300000000003,,,
87,K00424,,,0.5710133062481896,,,,,,9.8666,,,
88,K00425,,,0.6123301739088803,,,,,,231.18920000000006,,,
89,K00426,,,0.6158682242894759,,,0.675,,,103.61370000000001,,,6.0372
90,K00428,,,0.629689110171785,,,,,,30.5689,,,
91,K00432,,,0.6006144367778476,,0.495,,,,87.86340000000001,,7.8548,
92,K00433,,,0.6422891375799281,,0.603,,,,66.98230000000001,,8.9545,
93,K00446,,,0.6382777253635191,,,,,,27.9934,,,
94,K00449,,,0.6611340954442156,,,,,,23.1844,,,
95,K00451,,,0.6389109319056623,,0.6709999999999999,,,,123.0543,,7.5206,
96,K00453,,,0.59458584357246,,,,,,34.781099999999995,,,
97,K00456,,,0.591,,,,,,2.7794,,,
98,K00457,,,0.6300488770196851,,,,,,94.8865,,,
99,K00459,,,0.6741720254678694,,,,,,180.28689999999997,,,
100,K00469,,,0.5514114760800022,,,,,,20.032,,,
101,K00485,,,0.6769999999999999,,,,,,6.8556,,,
102,K00496,,,0.6491076201581322,,,,,,45.311699999999995,,,
103,K00500,,,0.61,,,,,,2.2086,,,
104,K00507,,,0.6431550647847771,,,,,,148.07109999999997,,,
105,K00518,,,0.6343809015020834,,,,,,15.389100000000001,,,
106,K00525,,,0.643607019105043,,,,,,112.707,,,
107,K00526,,,0.5999106904482671,,,,,,15.6214,,,
108,K00528,,,0.6653643971193659,,,,,,21.8543,,,
109,K00529,,,0.672,,,,,,6.7761,,,
110,K00537,,,0.6167742235089854,,,,,,20.5783,,,
111,K00540,,,0.6570715929344687,,,0.6890000000000001,,,132.04259999999996,,,5.3763
