,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
51,K00425,,,0.6691455736849542,,,,,110.07309999999998,,
52,K00426,,,0.7030729240067117,,,,,32.0476,,
53,K00428,,,0.6560690069760421,,,,,4.5535,,
54,K00432,,,0.6651665933231594,,,,,10.1929,,
55,K00433,,,0.6295212757917013,,,,,11.5808,,
56,K00450,,,0.6606407482478477,,,,,17.306600000000003,,
57,K00451,,,0.66528210050563,,,,,34.874300000000005,,
58,K00453,,,0.6908768393479255,,,,,17.683100000000003,,
59,K00457,,,0.6852200377878143,,,,,38.7822,,
60,K00459,,,0.7238710516491889,,,,,48.75749999999999,,
61,K00481,,,0.6679999999999999,,,,,2.0117,,
62,K00496,,,0.677,,,,,6.7735,,
63,K00507,,,0.6201084727895868,,,,,42.2725,,
64,K00518,,,0.648,,,,,16.6897,,
65,K00525,,,0.6816399131279737,,,,,27.4007,,
66,K00526,,,0.6395973518676746,,,,,13.042200000000001,,
67,K00537,,,0.523,,,,,3.4812,,
68,K00540,,,0.6559294606465568,,0.586,,,28.584100000000003,,2.3997
69,K00544,,,0.6970000000000001,,,,,5.8614,,
70,K00548,,,0.6729132913552394,,,,,34.7117,,
71,K00549,,,0.6761918523003064,,,,,128.13300000000004,,
72,K00554,,,0.6608651163807617,,,,,17.6265,,
73,K00558,,,0.7090000000000001,,,,,3.3787,,
74,K00560,,,0.6270356933380543,,,,,14.4645,,
75,K00567,,,0.7095361799235151,,,,,6.5442,,
76,K00570,,,0.6988002622548096,,,,,13.2028,,
77,K00571,,,0.6535370203199085,,,,,8.961,,
78,K00573,,,0.7011315421005858,,,,,9.1467,,
79,K00574,,,0.6838792644894932,,,,,32.3193,,
80,K00588,,,0.6949905959615239,,,,,19.7393,,
81,K00598,,,0.6848897022442515,,,,,11.4679,,
82,K00600,,,0.6761149360927926,,,,,77.2231,,
83,K00602,,,0.6828567070276356,,,,,61.6662,,
84,K00606,,,0.6645512823793256,,,,,31.1235,,
85,K00611,,,0.674,,,,,8.9611,,
86,K00615,,,0.6907013310873926,,,,,27.947400000000002,,
87,K00616,,,0.675,,,,,3.6582,,
88,K00620,,,0.7479740877320342,,,,,13.4556,,
89,K00626,,,0.6832958874225253,,,,,106.2403,,
90,K00635,,,0.6866944917674194,,,,,49.785199999999996,,
91,K00640,,,0.736,,,,,3.9837,,
92,K00641,,,0.650762938200978,,,,,40.064600000000006,,
93,K00651,,,0.618,,,,,4.9434,,
94,K00655,,,0.697482848830824,,,,,59.4528,,
95,K00657,,,0.6457326456837182,,,,,10.2725,,
96,K00661,,,0.635,,,,,4.0642,,
97,K00673,,,0.68,,,,,3.4592,,
98,K00674,,,0.6310000000000001,,,,,4.3072,,
99,K00677,,,0.6535538761119203,,,,,5.0377,,
100,K00688,,,0.6604979548394775,,,,,54.42,,
101,K00703,,,0.647,,,,,4.7143,,
102,K00721,,,0.675610037491829,,,,,10.1769,,
103,K00728,,,0.605,,,,,2.9477,,
104,K00759,,,0.7303405620702199,,,,,12.947,,
105,K00760,,,0.6912918618079549,,,,,14.8476,,
106,K00762,,0.3389999999999999,0.7274195361546844,,,,2.4966,8.959,,
107,K00763,,,0.7019572281000782,,,,,19.2808,,
108,K00764,,,0.6967110646727894,,,,,35.6066,,
109,K00765,,,0.7087466008471616,,,,,12.440100000000001,,
110,K00766,,,0.72081087087625,,,,,36.074,,
111,K00768,,,0.7412314672877137,,,,,9.0993,,
112,K00769,,,0.6610796684345868,,,,,14.093,,
113,K00772,,,0.6959999999999998,,,,,5.5457,,
114,K00773,,,0.731,,,,,7.0545,,
115,K00782,,,0.7040272540534672,,,,,11.4647,,
116,K00783,,,0.6450000000000001,,,,,2.9276,,
117,K00784,,,0.7041687321930995,,,,,22.1922,,
118,K00789,,,0.6844517132077136,,,,,164.79760000000002,,
119,K00790,,,0.7185686125497824,,,,,25.0747,,
120,K00791,,,0.6624854666170328,,,,,7.4978,,
121,K00793,,,0.6697768123726023,,,,,14.227400000000001,,
122,K00794,,,0.7059275003149202,,,,,5.1476999999999995,,
