,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
133,K00567,,,0.6825183175387748,,,,,,23.2082,,,
134,K00570,,,0.6470666289658397,,,,,,38.4308,,,
135,K00573,0.545,,0.6210129133169661,,,,1.7417,,161.9095,,,
136,K00574,,,0.6094521039914336,,0.593,,,,93.61650000000002,,1.8225,
137,K00575,,,0.648126226830668,,,,,,7.0316,,,
138,K00577,,0.327,,,,,,5.8931,,,,
139,K00588,,,0.6577562908911997,,,,,,37.8917,,,
140,K00598,,,0.5856175417738833,,,,,,9.1766,,,
141,K00600,,0.3758751033364068,0.6536098847664731,,,,,18.061500000000002,409.46320000000003,,,
142,K00602,0.71,,0.6338110426097022,,,,4.7974,,171.62850000000003,,,
143,K00604,,,0.6292467620626718,,,,,,11.434000000000001,,,
144,K00606,,0.558950216422612,0.5997086903421271,,,,,19.1804,113.03160000000001,,,
145,K00609,,,0.653215080119146,,,,,,65.6024,,,
146,K00610,,0.294,,,,,,5.2357,,,,
147,K00611,,,0.695,,,,,,6.1962,,,
148,K00612,,,0.6185546040696941,,,,,,19.1844,,,
149,K00615,,,0.6411973389134304,,,,,,43.6803,,,
150,K00616,,0.3822621798318767,0.6132698815336013,,,,,9.7512,13.0901,,,
151,K00620,,,0.6417193958395154,,,,,,41.5656,,,
152,K00626,,,0.663475338527097,,,,,,225.05360000000002,,,
153,K00635,,,0.6966692123495664,,,,,,111.01889999999999,,,
154,K00640,,,0.6241511299971185,,,,,,32.1116,,,
155,K00641,,,0.6367718651589198,,,,,,112.1001,,,
156,K00645,,,0.565,,,,,,3.6405,,,
157,K00648,,,0.6470295155845075,,,,,,12.342099999999999,,,
158,K00651,,,0.508,,,,,,6.0894,,,
159,K00655,,,0.6672447905970664,,,,,,44.01400000000001,,,
160,K00657,,,0.542,,,,,,4.2716,,,
161,K00661,,,0.6845807128517903,,,,,,10.249,,,
162,K00662,,,0.516064420398118,,,,,,13.2217,,,
163,K00663,,,0.672908871698914,,,,,,12.1528,,,
164,K00672,,,0.585,,,,,,5.8702,,,
165,K00674,,,0.6835351454092337,,,,,,22.1815,,,
166,K00677,,,0.5772490450534469,,,,,,40.4405,,,
167,K00683,,,0.55148546747053,,,,,,7.2582,,,
168,K00684,,,0.6473437393328496,,,,,,36.7677,,,
169,K00688,,,0.6160676160641865,,0.638,,,,240.05679999999998,,4.5189,
170,K00700,,,0.6202556150139074,,,,,,60.11529999999999,,,
171,K00703,,,0.5592198654193171,,,,,,27.121199999999998,,,
172,K00705,,,0.5781971213255356,,,,,,7.6266,,,
173,K00721,,,0.6326275218619406,,,,,,16.1629,,,
174,K00748,,,0.6010090180122895,,,,,,34.0757,,,
175,K00759,,0.345,0.632147680773157,,,,,5.8716,80.99040000000001,,,
176,K00760,,,0.6132588091240556,,,,,,83.2243,,,
177,K00762,,0.3398120844323508,0.6372402183616668,,,,,8.139100000000001,37.994200000000006,,,
178,K00763,,0.423,0.6420663838892322,,,,,5.142,30.3434,,,
179,K00764,,0.38046542746146633,0.6186723529455839,,,,,8.0996,111.36190000000002,,,
180,K00765,,0.3720000000000001,0.6584342052195894,,,,,5.2401,61.854499999999994,,,
181,K00766,,,0.6487740648239699,,,,,,73.96929999999999,,,
182,K00768,,0.529,0.6351706936808924,,,,,5.2915,45.0225,,,
183,K00769,,,0.6103812291688259,,,,,,9.0395,,,
184,K00772,,,0.679,,,,,,6.155,,,
185,K00773,,,0.5935759030215207,,,,,,10.403400000000001,,,
186,K00782,,,0.49000000000000005,,,,,,1.8333,,,
187,K00783,,,0.6455341939762037,,,0.586,,,29.115899999999996,,,3.9462
188,K00784,,0.33563790033582,0.5606283919782608,,,,,13.2704,67.0942,,,
189,K00789,,0.41192622584013466,0.6472733258369792,,,,,10.3024,424.79970000000003,,,
190,K00790,,,0.6503452241654549,,,,,,67.69250000000001,,,
191,K00791,,,0.6681725325852976,,,,,,16.3312,,,
192,K00793,,,0.6232427967057845,,,,,,62.607499999999995,,,
193,K00794,,,0.6199127194847982,,0.7609999999999999,,,,48.2962,,9.5222,
194,K00796,,,0.6449967619616026,,,,,,12.8833,,,
195,K00797,,,0.552228848317151,,,,,,19.266299999999998,,,
196,K00798,,0.32598307675257315,0.6558070998873226,,,,,11.5719,92.4795,,,
197,K00799,,,0.6085514558730322,,,0.6409999999999999,,,231.31250000000003,,,3.2695
198,K00800,,0.37,0.639065648759347,,,,,6.0626,34.9136,,,
199,K00801,,,0.5005363300008427,,,,,,11.4633,,,
200,K00805,,,0.765,,,,,,9.7726,,,
201,K00809,,0.377,,,,,,3.9328,,,,
202,K00820,,0.397,0.6186947506984928,,,,,4.6943,128.0941,,,
203,K00824,,,0.623,,,,,,6.5861,,,
204,K00826,,0.369,0.56898445154445,,,,,8.3039,13.0244,,,
205,K00831,,,0.5660006745257249,,,,,,51.376400000000004,,,
206,K00845,,,0.5489999999999999,,,,,,3.3776,,,
207,K00851,,,0.561319153430819,,,,,,11.0486,,,
208,K00852,,,0.495,,,,,,3.6621,,,
209,K00853,,,0.718,,,,,,12.1763,,,
210,K00855,,,0.5907384948185161,,,,,,13.764999999999999,,,
211,K00857,,,0.59537024820714,,,,,,40.0257,,,
212,K00858,,0.3726861313048312,0.6371231562772719,,,,,9.9419,152.09950000000003,,,
213,K00859,,,0.5716839206013152,,,0.7179269808395441,,,76.35830000000001,,,7.617
214,K00864,,,0.688,,,,,,14.1735,,,
215,K00865,,,0.681072970649323,,,,,,10.4563,,,
216,K00867,,,0.5990290922972386,,,,,,60.6875,,,
217,K00868,,,0.716,,,,,,5.7604,,,
218,K00872,,,0.6729999999999999,,,,,,4.179,,,
219,K00873,,,0.6493169256766876,,,0.583,,,159.94699999999997,,,2.8705
220,K00876,,,0.5580670543357509,,,,,,8.813600000000001,,,
221,K00883,,,0.569592737296781,,,,,,7.7211,,,
222,K00886,,,0.5784423354734427,,,,,,6.1683,,,
223,K00887,,,0.6759999999999999,,,,,,7.3617,,,
224,K00891,,,0.6320035920000238,,,,,,19.518900000000002,,,
225,K00912,,,0.5772075679260643,,,,,,23.8195,,,
226,K00919,,,0.6464892251196768,,,,,,40.6991,,,
227,K00925,,,0.6816041978772011,,,,,,58.155699999999996,,,
228,K00926,,,0.6728822358251014,,,,,,73.5852,,,
229,K00927,,0.3477753934375562,0.6408301221362793,,,,,6.9142,162.91590000000002,,,
230,K00930,,,0.6525109481194938,,,,,,30.100600000000004,,,
231,K00931,,,0.624,,,,,,3.4452,,,
232,K00936,,,0.5950118887775706,,,,,,69.2458,,,
233,K00937,,,0.6128028693235545,,,,,,53.397800000000004,,,
234,K00939,,,0.6633261955222798,,,,,,38.1498,,,
235,K00940,,0.343,0.6460397415737178,,,,,7.1647,38.4792,,,
236,K00941,,,0.6559999999999999,,,,,,9.0298,,,
237,K00942,,,0.6420305368022886,,,,,,26.420599999999997,,,
238,K00943,,0.33690679403084445,0.642981314893434,,,,,15.7013,44.0237,,,
239,K00945,,,0.6007315010657415,,,,,,73.06869999999999,,,
240,K00946,,,0.6467623575958997,,,,,,43.294200000000004,,,
241,K00948,,0.344,0.6374907237417183,,,,,4.0693,234.642,,,
242,K00949,,,0.45,,,,,,2.8055,,,
243,K00950,,,0.6249960941052101,,,,,,55.32040000000001,,,
244,K00952,,0.3331386335659999,,,,,,16.9605,,,,
245,K00954,,,0.6338249527187779,,,,,,85.55669999999999,,,
246,K00957,,,0.6565095488932894,,,,,,33.8786,,,
247,K00958,,,0.6829197080831876,,,,,,33.6412,,,
248,K00962,,,0.46210089510866137,,,,,,14.476500000000001,,,
249,K00963,,,0.6576924269501084,,,,,,49.110600000000005,,,
250,K00969,,,0.6296381074008296,,,,,,39.75320000000001,,,
251,K00971,,,0.5496846272292115,,,0.649,,,48.782000000000004,,,2.7775
252,K00973,,,0.536663605578467,,,,,,16.2646,,,
253,K00975,,,0.5625289082674474,,,,,,57.0312,,,
254,K00978,,,0.4370000000000001,,,,,,6.5233,,,
255,K00980,,,0.6920000000000001,,,,,,5.0805,,,
256,K00981,,,0.6489539828316396,,,0.711,,,96.98749999999998,,,6.8547
257,K00982,,,0.6298779474009282,,,,,,40.5492,,,
258,K00986,,0.6214698562499181,0.6069984749219776,,0.5290280903945082,,,11.3536,1148.670599999999,,6.887300000000001,
259,K00989,,,0.7081551408979678,,,,,,66.454,,,
260,K00990,,,0.6584168293954974,,,,,,82.56019999999998,,,
261,K00992,,,0.62,,,,,,5.6329,,,
262,K00997,,,0.6732182300639235,,,,,,28.2813,,,
263,K01000,,,0.6207816944379806,,,,,,44.790200000000006,,,
264,K01004,,,0.5522215156309072,,,,,,12.5777,,,
265,K01005,,,0.6486466982436568,,,0.5678540387795254,,,139.4119,,,10.8542
266,K01006,,,0.6454157678665904,,,,,,92.7793,,,
267,K01008,,,0.6611219407593716,,,,,,42.4481,,,
268,K01011,,,0.5499786495108814,,,,,,8.982,,,
269,K01012,,0.35100000000000003,0.6734077940374897,,,,,6.0557,23.8788,,,
270,K01028,,,0.615,,,,,,10.1715,,,
271,K01034,,,0.603,,,,,,3.9065,,,
272,K01039,,,0.6619006465893463,,,,,,16.424999999999997,,,
273,K01040,,,0.6428827583128187,,,,,,59.2681,,,
274,K01042,,,0.7290000000000001,,,,,,6.7986,,,
275,K01046,,0.416,0.6324462261109981,,,,,3.3333,10.9618,,,
276,K01048,,,0.621,,,,,,5.8393,,,
277,K01051,,,0.5022084250198685,,,,,,14.7067,,,
278,K01053,,,0.643,,,,,,7.5517,,,
279,K01055,,,0.6097075260751439,,,,,,15.894700000000002,,,
280,K01056,,,0.6174860719352444,,,0.607,,,72.5091,,,4.9636
281,K01057,,,0.676983059594293,,,,,,28.056500000000003,,,
282,K01060,,,0.5301304851348811,,,,,,10.3673,,,
